name,invention,url_name,patent,induction_year,birth_date,death_date
Arthur Ashkin,Optical Trapping,arthur-ashkin,"['3,710,279', '4,893,886']",2013,"Sept. 2, 1922","Sept. 21, 2020"
Martin (John) M. Atalla,MOSFET,martin-john-m-atalla,"['3,206,670']",2009,"Aug. 4, 1924","Dec. 30, 2009"
Alpheus Babcock,Cast-Iron Piano Frame,alpheus-babcock,missing,2007,"Sept. 11, 1785","April 3, 1842"
George H. Babcock,Improvement in Steam Generators,george-h-babcock,"['65,042']",1997,"June 17, 1832","Dec. 16, 1893"
Roger Bacon,High-Performance Carbon Fibers,roger-bacon,"['2,957,756']",2016,16-Apr-2026,"Jan. 26, 2007"
Leo Hendrik Baekeland,Bakelite,leo-hendrik-baekeland,"['942,699']",1978,"Nov. 14, 1863","Feb. 23, 1944"
John Baer,Thiazide Diuretics (Chlorothiazide),john-baer,"['3,476,858']",2019,25-Apr-2017,"Aug. 17, 2003"
Ralph H. Baer,Video Games,ralph-h-baer,"['3,728,480']",2010,8-Mar-2022,"Dec. 6, 2014"
Rodney D. Bagley,Ceramic Substrate in Catalytic Converters,rodney-d-bagley,"['3,790,654']",2002,"Oct. 2, 1934",13-Apr-2023
Shankar Balasubramanian,Sequencing-by-Synthesis (SBS),shankar-balasubramanian,"['6,787,308']",2024,"Sept. 30, 1966",
Matthias Baldwin,Locomotive Engine,matthias-baldwin,missing,2005,"Dec. 10, 1795","Sept. 7, 1886"
Bantval Jayant Baliga,Insulated Gate Bipolar Transistor,bantval-jayant-baliga,"['4,969,028', '5,998,833']",2016,28-Apr-1948,
Robert Banks,High-Density Polyethylene and Polypropylene Plastics,robert-banks,"['2,825,721']",2001,"Nov. 24, 1921","Jan. 3, 1989"
Frederick Banting,"Isolated, Purified Insulin",frederick-banting,"['1,469,994']",2004,"Nov. 14, 1891","Feb. 21, 1941"
Paul Baran,Digital Packet Switching,paul-baran,"['4,438,511']",2007,29-Apr-2026,26-Mar-2011
John Bardeen,Transistor,john-bardeen,"['2,502,488', '2,524,035']",1974,23-May-2008,"Jan. 30, 1991"
Rodolphe Barrangou,CRISPR-enhanced Food Products,rodolphe-barrangou,"['9,879,269', '9,951,342']",2023,"Sept. 15, 1975",
C. Donald Bateman,Ground Proximity Warning System,c-donald-bateman,"['3,922,637']",2005,8-Mar-1932,21-May-2023
Patricia Bath,Laserphaco Cataract Surgery,patricia-bath,"['4,744,360']",2022,"Nov. 4, 1942",30-May-2019
Andrew J. Beard,Jenny Coupler for Railroad Cars,andrew-j-beard,"['594,059']",2006,"Jan. 1, 1849","Jan. 1, 1921"
Arnold O. Beckman,pH Meter,arnold-o-beckman,"['2,058,761']",1987,10-Apr-2000,18-May-2004
Semi Joseph Begun,Magnetic Recording,semi-joseph-begun,"['2,048,487', '2,048,488']",1998,"Dec. 2, 1905","Jan. 5, 1995"
Alexander Graham Bell,Improvement in Telegraphy,alexander-graham-bell,"['174,465']",1974,"March 3, 1847","Aug. 2, 1922"
Ruth Benerito,Wrinkle-Free Cotton,ruth-benerito,"['3,432,252']",2008,"Jan. 12, 1916","Oct. 5, 2013"
Willard H. Bennett,Radio Frequency Mass Spectrometer,willard-h-bennett,"['2,721,271']",1991,13-Jun-2003,"Sept. 28, 1987"
Carl Benz,Modern Automobile,carl-benz,"['385,087']",2022,"Nov. 25, 1844",4-Apr-2029
Evelyn Berezin,Computer Systems for Business Use,evelyn-berezin,"['3,253,262']",2022,12-Apr-2025,"Dec. 8, 2018"
Emile Berliner,Gramophone / Microphone,emile-berliner,"['372,786', '463,569']",1994,"May 20, 1851","Aug. 3, 1929"
Carolyn Bertozzi,Bioorthogonal Chemistry,carolyn-bertozzi,"['7,807,619']",2017,"Oct. 10, 1966",
Henry Bessemer,Bessemer Process,henry-bessemer,"['16,082']",2002,"Jan. 19, 1813","March 15, 1898"
Charles Best,"Isolated, Purified Insulin",charles-best,"['1,469,994']",2004,"Feb. 27, 1899",31-Mar-1978
Eric Betzig,Photoactivated Localization Microscopy (PALM),eric-betzig,"['7,535,012']",2024,"Jan. 13, 1960",
Karl H. Beyer Jr.,Thiazide Diuretics (Chlorothiazide),karl-beyer-jr,"['2,789,938']",2019,19-Jun-2014,"Dec. 2, 1996"
Erastus B. Bigelow,Power Loom,erastus-b-bigelow,['169'],2006,"April 2, 1814","Dec. 6, 1879"
Edwin Binney,Manufacturing Lamp Black,edwin-binney,"['453,140']",2011,"Nov. 24, 1866","Dec. 17, 1934"
Gerd Karl Binnig,Scanning Tunneling Microscope,gerd-karl-binnig,"['4,343,993']",1994,20-Jul-1947,
Forrest M. Bird,Medical Respirator,forrest-m-bird,"['3,068,856', '3,191,596', '3,842,828']",1995,9-Jun-2021,"Aug. 2, 2015"
John Birden,Radioisotope Thermoelectric Generator (RTG),john-birden,"['2,913,510']",2013,"Nov. 23, 1918","Nov. 3, 2011"
Clarence Birdseye,Frozen Foods,clarence-birdseye,"['1,773,079']",2005,"Dec. 9, 1886","Oct. 7, 1956"
Laszlo Josef Biro,Ballpoint Pen,laszlo-josef-biro,"['2,390,636']",2007,"Sept. 29, 1899","Oct. 24, 1985"
Donald L. Bitzer,Plasma Display,donald-l-bitzer,"['3,559,190']",2013,"Jan. 1, 1934",
Harold Stephen Black,Negative Feedback Amplifier,harold-stephen-black,"['2,102,671']",1981,"April 14, 1898","Dec. 11, 1983"
S. Duncan Black,Portable Hand-Held Electric Drill,s-duncan-black,"['1,245,860']",2019,"Aug. 2, 1883",15-Apr-1951
Eli Whitney Blake,Machine for Crushing Stone,eli-whitney-blake,"['20,542']",2007,"Jan. 26, 1795","Aug. 18, 1886"
Helen Blanchard,Zig-Zag Sewing Machine,helen-blanchard,"['141,987']",2006,"Aug. 25, 1840","Jan. 12, 1922"
Thomas Blanchard,Pattern Lathe,thomas-blanchard,missing,2006,"June 24, 1788","April 16, 1864"
Sylvia Blankenship,"1-MCP for Fruit, Vegetable and Flower Freshness",sylvia-blankenship,"['5,518,988']",2022,"Sept. 10, 1954",
Katharine Burr Blodgett,Langmuir-Blodgett Films,katharine-burr-blodgett,"['2,220,860']",2007,"Jan. 10, 1898","Oct. 12, 1979"
Samuel E. Blum,Excimer Laser Surgery,samuel-e-blum,"['4,784,135']",2002,"Aug. 28, 1920","Jan. 9, 2013"
Baruch S. Blumberg,Vaccine for Hepatitis B,baruch-s-blumberg,"['3,636,191', '3,872,225']",1993,28-Jul-2025,5-Apr-2011
James Bogardus,Iron Buildings,james-bogardus,"['7,337']",2007,"March 14, 1800","April 13, 1874"
Nils I. Bohlin,Safety Belt,nils-i-bohlin,"['3,043,625']",2002,17-Jul-2020,"Sept. 21, 2002"
Joseph-Armand Bombardier,Snowmobile,joseph-armand-bombardier,"['3,023,824']",2024,16-Apr-2007,"Feb. 18, 1964"
Dana Bookbinder,Bend-Insensitive Optical Fiber,dana-bookbinder,"['7,450,806', '7,903,917', '8,385,701']",2022,"Nov. 30, 1956",
"Gail Borden, Jr.",Process for Condensing Milk,gail-borden,"['15,553']",2006,"Nov. 9, 1801","Jan. 11, 1874"
Carl Bosch,Process of Producing Ammonia,carl-bosch,"['990,191']",2006,"Aug. 27, 1874",26-Apr-1940
Amar Bose,Feedback Control,amar-bose,"['4,494,074']",2008,"Nov. 2, 1929",12-Jul-2013
Robert W. Bower,Self-Aligned Gate MOSFET,robert-w-bower,"['3,472,712']",1997,12-Jun-1936,
William Bowerman,Modern Athletic Shoe,william-bowerman,"['3,793,750']",2014,"Feb. 19, 1911","Dec. 24, 1999"
Seth Boyden,Process for Making Malleable Iron,seth-boyden,missing,2006,"Nov. 17, 1788","March 31, 1870"
Herbert W. Boyer,Genetic Engineering,herbert-w-boyer,"['4,237,224']",2001,10-Jul-1936,
Otis Boykin,Electronic Resistors,otis-boykin,"['2,891,227']",2014,"Aug. 29, 1920",1-Mar-1982
Willard S. Boyle,Charge-Coupled Device,willard-s-boyle,"['3,858,232']",2006,"Aug. 19, 1924",7-May-2011
Milton Bradley,Game Board,milton-bradley,"['53,561']",2006,"Nov. 8, 1836",30-May-2011
Jacques E. Brandenberger,Cellophane,jacques-e-brandenberger,"['1,266,766']",2006,"Oct. 19, 1872",13-Jul-1954
Per-Ingvar Brånemark,Modern Dental Implant,ingvar-branemark,"['4,988,299']",2016,3-May-2029,"Dec. 20, 2014"
Charles F. Brannock,Foot-Measuring Device,charles-f-brannock,"['1,682,366']",1992,16-May-2003,"Nov. 22, 1992"
Walter H. Brattain,Transistor,walter-h-brattain,"['2,502,488', '2,524,035']",1974,"Feb. 10, 1902","Oct. 13, 1987"
Yvonne Brill,Electrothermal Hydrazine Resistojet,yvonne-brill,"['3,807,657']",2010,"Dec. 30, 1924",27-Mar-2013
Angela Hartley Brodie,Aromatase Inhibitors,angela-hartley-brodie,"['4,235,893']",2023,"Sept. 28, 1934",7-Jun-2017
Garrett W. Brown,Steadicam® Camera Stabilizer,garrett-w-brown,"['4,017,168']",2013,6-Apr-1942,
Rachel Fuller Brown,Nystatin (Antifungal / Antibiotic),rachel-fuller-brown,"['2,797,183']",1994,"Nov. 23, 1898","Jan. 14, 1980"
John Moses Browning,Breech-Loading Firearm,john-moses-browning,"['220,271']",2007,"Jan. 23, 1855","Nov. 26, 1926"
Charles F. Brush,Arc Lamp for Street Lighting,charles-f-brush,"['203,411']",2006,"March 17, 1849",15-Jun-2029
Robert Bryant,LaRC-SI (Langley Research Center-Soluble Imide),robert-bryant,"['5,639,850', '5,741,883', '6,048,959']",2023,30-Apr-1962,
Edward W. Bullard,Hard Hat,edward-bullard,"['1,699,133']",2022,"Dec. 1, 1893",18-Apr-1963
Francis P. Bundy,Diamond Synthesis,francis-p-bundy,"['2,947,611']",2010,"Sept. 1, 1910","Feb. 23, 2008"
Luther Burbank,Peach and Other Fruit,luther-burbank,[],1986,"March 7, 1849",11-Apr-2026
Joseph H. Burckhalter,Isothiocyanate Compounds for Antigen Identification,joseph-h-burckhalter,"['2,937,186']",1995,"Oct. 9, 1912",9-May-2004
John Francis Burke,Regenerated Skin,john-francis-burke,"['4,418,691']",2015,22-Jul-2022,"Nov. 2, 2011"
William Seward Burroughs,Calculator,william-seward-burroughs,"['388,116']",1987,"Jan. 28, 1857","Sept. 14, 1898"
William Meriam Burton,Catalytic Cracking,william-meriam-burton,"['1,049,667']",1984,"Nov. 17, 1865","Dec. 29, 1954"
Vannevar Bush,Differential Analyzer,vannevar-bush,"['2,032,253']",2004,"March 11, 1890",28-Jun-1974
Edward A. Calahan,Stock Ticker,edward-calahan,"['76,157']",2006,"Jan. 1, 1838","Jan. 1, 1912"
Harry Cameron,Blowout Preventer (BOP),harry-cameron,"['1,569,247']",2022,"July 9, 1872",31-May-2028
Donald L. Campbell,Fluid Catalytic Cracking,donald-l-campbell,"['2,451,804']",1999,"Aug. 5, 1904","Sept. 14, 2002"
George Ashley Campbell,Electric Wave Filter,george-ashley-campbell,"['1,227,113']",2011,"Nov. 27, 1870","Nov. 10, 1954"
Marvin Camras,Magnetic Recording,marvin-camras,"['2,351,004']",1985,"Jan. 1, 1916",23-Jun-1995
Chester F. Carlson,Xerographic Printing,chester-f-carlson,"['2,297,691']",1981,"Feb. 8, 1906","Sept. 19, 1968"
Wallace Hume Carothers,Synthetic Rubber,wallace-hume-carothers,"['2,130,947', '2,130,948']",1984,"April 27, 1896",29-Apr-1937
Willis Haviland Carrier,Air Conditioner,willis-haviland-carrier,"['808,897']",1985,"Nov. 26, 1876","Oct. 7, 1950"
George R. Carruthers,Far Ultraviolet Electrographic Camera,george-r-carruthers,"['3,478,216']",2003,"Oct. 1, 1939","Dec. 26, 2020"
Marvin Caruthers,Chemical Synthesis of DNA,marvin-caruthers,"['4,415,732', '4,458,066']",2018,"Feb. 11, 1940",
George Washington Carver,Peanut Products,george-washington-carver,"['1,522,176', '1,541,478']",1990,"Jan. 1, 1864","Jan. 5, 1943"
Frank J. Cepollina,Satellite Servicing Techniques,frank-j-cepollina,"['3,460,378']",2003,"Dec. 6, 1936",
Vinton G. Cerf,Transmission Control Protocol / Internet Protocol,vinton-g-cerf,"['6,574,628']",2006,23-Jun-1943,
Daryl Chapin,Silicon Solar Cell,daryl-chapin,"['2,780,765']",2008,21-Jul-2006,"Jan. 19, 1995"
Emmett W. Chappelle,Bioluminescence Techniques,emmett-w-chappelle,"['3,423,290']",2007,"Oct. 24, 1925","Oct. 14, 2019"
John Charnley,Acetabular Sockets,john-charnley,"['3,722,002']",2008,"Aug. 29, 1911","Aug. 12, 1982"
Emmanuelle Charpentier,CRISPR-Cas9 Gene Editing,emmanuelle-charpentier,"['10,266,850']",2023,"Dec. 11, 1968",
Mary-Dell Chilton,Transgenic Plant,mary-dell-chilton,"['6,051,757']",2015,"Feb. 2, 1939",
Alfred Y. Cho,Molecular Beam Epitaxy (MBE),alfred-y-cho,"['3,830,654']",2009,10-Jul-1937,
Edith Clarke,Graphical Calculator,edith-clarke,"['1,552,113']",2015,"Feb. 10, 1883","Oct. 29, 1959"
Georges Claude,Neon Tubing,georges-claude,"['1,189,664']",2007,"Sept. 24, 1870",23-May-1960
Josephine Garis Cochran,Dishwasher,josephine-garis-cochran,"['355,139']",2006,"March 8, 1839","Aug. 3, 1913"
Stanley N. Cohen,Genetic Engineering,stanley-n-cohen,"['4,237,224']",2001,"Feb. 17, 1935",
James Collip,"Isolated, Purified Insulin",james-collip,"['1,469,994']",2004,"Nov. 20, 1892",19-Jun-1965
Samuel Colt,Revolver with Interchangeable Parts,samuel-colt,missing,2006,"July 19, 1814","Jan. 10, 1862"
Frank B. Colton,Oral Contraceptives,frank-b-colton,"['2,691,028', '2,725,389']",1988,3-Mar-2023,"Nov. 25, 2003"
Barrett O. Comiskey,Electronic Ink,barrett-o-comiskey,"['5,961,804']",2016,"Sept. 18, 1975",
Lloyd H. Conover,Tetracycline,lloyd-h-conover,"['2,699,054']",1992,13-Jun-2023,11-Mar-2017
Lynn Conway,Very Large-Scale Integration (VLSI),lynn-conway,"['5,046,022']",2023,"Jan. 2, 1938",
William D. Coolidge,X-Ray,william-d-coolidge,"['1,203,495']",1975,"Oct. 23, 1873","Feb. 4, 1975"
Peter Cooper,Steam Boiler Fire-Box,peter-cooper,missing,2006,"Feb. 12, 1791","April 4, 1883"
Rory Cooper,Wheelchair Technology,rory-cooper,"['6,276,705', '8,264,458']",2023,"Nov. 9, 1959",
Harry W. Coover,Superglue,harry-w-coover,"['2,768,109']",2004,6-Mar-2017,26-Mar-2011
George Henry Corliss,Improvements in the Steam Engine,george-henry-corliss,"['177,377', '177,059']",2006,"June 2, 1817","Feb. 21, 1888"
Martha Coston,Signal Flares used by Ships,martha-coston,"['115,935']",2006,"Dec. 12, 1826",9-Jul-2004
Frederick G. Cottrell,Electrostatic Precipitator,frederick-g-cottrell,"['895,729']",1992,"Jan. 10, 1877","Nov. 16, 1948"
Wallace Coulter,Coulter Principle,wallace-coulter,"['2,656,508']",2004,"Feb. 17, 1913","Aug. 7, 1998"
Jacques-Yves Cousteau,Diving Equipment,jacques-yves-cousteau,"['2,485,039']",2010,11-Jun-2010,25-Jun-1997
Joshua Lionel Cowen,Toy Train,joshua-lionel-cowen,"['1,113,312']",2007,"Aug. 25, 1877","Sept. 8, 1965"
Eckley B. Coxe,Traveling-Grate Furnace,eckley-b-coxe,"['510,565']",2006,"June 4, 1839","May 13, 1895"
Seymour Cray,Supercomputer,seymour-cray,"['4,128,880']",1997,"Sept. 28, 1925","Oct. 5, 1996"
Marian Croak,VoIP (Voice over Internet Protocol) Technology,marian-croak,"['7,599,359']",2022,14-May-1955,
George Crompton,Loom,george-crompton,"['11,933']",2007,"March 23, 1829","Dec. 29, 1886"
David Crosthwait,Heating and Ventilation System Design,david-crosthwait,"['1,727,965']",2014,"May 27, 1898","Feb. 25, 1976"
Glenn Hammond Curtiss,Hydroaeroplane,glenn-hammond-curtiss,"['1,170,965']",2003,"May 21, 1878",23-Jul-1930
David Wayne Cushman,Captopril,david-wayne-cushman,"['4,105,776']",2007,"Nov. 15, 1939","Aug. 14, 2000"
Gottlieb Daimler,Design of Automobile and Motorcycle Engines,gottlieb-daimler,"['153,245']",2006,"March 17, 1834",6-Mar-2000
Raymond V. Damadian,Magnetic Resonance Imaging,raymond-v-damadian,"['3,789,832']",1989,16-Mar-1936,"Aug. 3, 2022"
Raffaello D'Andrea,Mobile Robotic Material Handling for Order Fulfillment,raffaello-dandrea,"['8,649,899']",2022,"Aug. 13, 1967",
John G. Daugman,Iris Recognition Algorithm,john-g-daugman,"['5,291,560']",2013,"Feb. 17, 1954",
Donald Watts Davies,Digital Packet Switching,donald-watts-davies,"['4,799,258']",2007,7-Jun-2024,28-May-2000
Mark Dean,Peripherals,mark-dean,"['4,528,626']",1997,2-Mar-1957,
Alonzo G. Decker,Portable Hand-Held Electric Drill,alonzo-decker,"['1,245,860']",2019,"Jan. 16, 1884",18-Mar-1956
John Deere,Improvement in Plows,john-deere,"['46,454']",1989,"Feb. 7, 1804","May 17, 1886"
Lee de Forest,Audion Amplifier,lee-de-forest,"['879,532']",1977,"Aug. 26, 1873",30-Jun-1961
George de Mestral,VELCRO® Fasteners,george-de-mestral,"['2,717,437']",1999,19-Jun-2007,"Feb. 8, 1990"
Robert H. Dennard,Dynamic Random Access Memory (DRAM),robert-h-dennard,"['3,387,286']",1997,"Sept. 5, 1932",
George Devol,Industrial Robot,george-devol,"['2,988,237']",2011,"Feb. 20, 1912","Aug. 11, 2011"
Albert B. Dick,Duplicating Machine,albert-b-dick,"['538,663']",2011,"April 16, 1856","Aug. 15, 1934"
Earle Dickson,BAND-AID® Brand Adhesive Bandages,earle-dickson,"['1,612,267']",2017,"Oct. 10, 1892","Sept. 21, 1961"
Rudolf Diesel,Internal-Combustion Engine,rudolf-diesel,"['608,845']",1976,"March 18, 1858","Sept. 29, 1913"
Whitfield Diffie,Public-Key Cryptography,whitfield-diffie,"['4,200,770']",2011,5-Jun-1944,
Richard DiMarchi,Insulin LisPro (Humalog®),richard-dimarchi,"['5,514,646']",2014,"Dec. 5, 1952",
Walt Disney,Multiplane Camera,walt-disney,"['2,201,689']",2000,"Dec. 5, 1901","Dec. 15, 1966"
Carl Djerassi,Oral Contraceptives,carl-djerassi,"['2,744,122']",1978,"Oct. 29, 1923","Jan. 30, 2015"
Ray Dolby,Dolby Noise Reduction,ray-dolby,"['3,846,719']",2004,"Jan. 18, 1933","Sept. 12, 2013"
Marion Donovan,Waterproof Diaper Cover,marion-donovan,"['2,556,800']",2015,"Oct. 15, 1917","Nov. 4, 1998"
Jennifer Doudna,CRISPR-Cas9 Gene Editing,jennifer-doudna,"['10,266,850']",2023,"Feb. 19, 1964",
Herbert Henry Dow,Bromine Extraction,herbert-henry-dow,['RE11232'],1983,"Feb. 26, 1866","Oct. 16, 1930"
Charles Stark Draper,Stabilizing Gyroscope,charles-stark-draper,"['2,752,790']",1981,"Oct. 2, 1901",25-Jul-1987
Mildred Dresselhaus,Superlattice Structures for Thermoelectric Devices,mildred-dresselhaus,"['7,465,871']",2014,"Nov. 11, 1930","Feb. 20, 2017"
Charles Richard Drew,Blood Plasma Preservation,charles-richard-drew,"['2,389,355']",2015,3-Jun-2004,1-Apr-1950
Richard Gurley Drew,Adhesive Tape,richard-gurley-drew,"['1,760,820']",2007,"June 22, 1899","Dec. 14, 1980"
Philip Drinker,Respiration Apparatus,philip-drinker,"['1,834,580']",2007,"Dec. 12, 1894","Oct. 19, 1972"
John Boyd Dunlop,Pneumatic Tire for Cycles,john-boyd-dunlop,"['435,995']",2006,"Feb. 5, 1840","Oct. 23, 1921"
Graham J. Durant,Tagamet - Cimetidine,graham-j-durant,"['3,950,333', '4,024,271']",1990,14-Mar-1934,11-Mar-2009
Benjamin Durfee,Automatic Sequence Controlled Calculator (Mark I),benjamin-durfee,"['2,616,626']",2014,"Sept. 18, 1897","Nov. 20, 1980"
James Buchanan Eads,American Infrastructure and Defense,james-buchanan-eads,"['83,942', '170,832']",2022,"May 23, 1820","March 8, 1887"
George Eastman,Dry Plate Photography System,george-eastman,"['226,503']",1977,"July 12, 1854",14-Mar-1932
Roger Easton,TIMATION Satellite Navigation System,roger-easton,"['3,789,409']",2010,30-Apr-2021,8-May-2014
J. Presper Eckert,ENIAC,j-presper-eckert,"['2,577,141']",2002,19-Apr-2019,3-Jun-1995
Harold E. Edgerton,Stroboscope,harold-e-edgerton,"['2,478,903']",1986,6-Apr-2003,"Jan. 4, 1990"
Thomas Alva Edison,Electric Lamp,thomas-alva-edison,"['223,898']",1973,"Feb. 11, 1847","Oct. 18, 1931"
Alfred Einhorn,Novocain,alfred-einhorn,"['812,554']",2007,"Feb. 27, 1856",21-Mar-2017
Willem Einthoven,Electrocardiograph,willem-einthoven,"['1,592,628']",2008,"May 21, 1860","Sept. 28, 1927"
Gertrude Belle Elion,Anti-Leukemia Drugs,gertrude-belle-elion,"['2,884,667']",1991,"Jan. 23, 1918","Feb. 21, 1999"
Carleton van Staal Ellis,Margarine,carleton-van-staal-ellis,"['1,390,689']",2011,"Sept. 20, 1876","Jan. 13, 1941"
John Colin Emmett,Tagamet - Cimetidine,john-colin-emmett,"['3,950,333', '4,024,271']",1990,27-Apr-1939,
Akira Endo,Mevastatin,akira-endo,"['3,983,140']",2012,"Nov. 14, 1933",
Douglas Engelbart,Computer Mouse,douglas-engelbart,"['3,541,541']",1998,"Jan. 30, 1925",2-Jul-2013
John Ericsson,Screw Propeller,john-ericsson,['588'],1993,"July 31, 1803","March 8, 1889"
Lloyd Espenschied,Coaxial Cable,lloyd-espenschied,"['1,835,031']",2006,"April 27, 1889",21-Jun-1986
Oliver Evans,High-Pressure Steam Engine,oliver-evans,missing,2001,"Sept. 13, 1755","April 15, 1819"
Ole Evinrude,Outboard Motor,ole-evinrude,"['1,001,260']",2007,"April 19, 1877",12-Jul-1934
Maxime Faget,Space Capsule Design,maxime-faget,"['3,702,688']",2003,"Aug. 26, 1921","Oct. 9, 2004"
Federico Faggin,Microprocessor,federico-faggin,"['3,821,715']",1996,"Dec. 1, 1941",
Moses G. Farmer,Electric Fire Alarm System,moses-g-farmer,"['8,920']",2006,"Feb. 9, 1820","May 25, 1893"
Philo Taylor Farnsworth,Television System,philo-taylor-farnsworth,"['1,773,980']",1984,"Aug. 19, 1906",11-Mar-1971
James L. Fergason,Liquid Crystal Display,james-l-fergason,"['3,731,986']",1998,"Jan. 12, 1934","Dec. 9, 2008"
Enrico Fermi,Nuclear Fission,enrico-fermi,"['2,708,656']",1976,"Sept. 29, 1901","Nov. 28, 1954"
Reginald A. Fessenden,AM Radio,reginald-fessenden,"['706,747']",2000,"Oct. 6, 1866",22-Jul-1932
Harvey Firestone,Pneumatic Rubber Tires,harvey-firestone,"['646,274']",2006,"Dec. 20, 1868","Feb. 7, 1938"
John Fitch,Propelling Boats with Steam,john-fitch,missing,2006,"Jan. 21, 1743","July 2, 1798"
Edith Flanigen,Molecular Sieves,edith-flanigen,"['4,310,440']",2004,"Jan. 28, 1929",
Leonard Flom,Iris Recognition System,leonard-flom,"['4,641,349']",2013,"Oct. 2, 1927",15-Mar-2022
Thomas J. Fogarty,Embolectomy Catheter,thomas-j-fogarty,"['3,435,826']",2001,"Feb. 25, 1934",
M. Judah Folkman,Angiogenesis Inhibition,m-judah-folkman,"['4,164,560']",2010,"Feb. 24, 1933","Jan. 14, 2008"
Henry Ford,Transmission Mechanism,henry-ford,"['1,005,186']",1982,"July 30, 1863",7-Apr-1947
Jay W. Forrester,Random Access Memory,jay-w-forrester,"['2,736,880']",1979,14-Jul-2018,"Nov. 16, 2016"
Eric R. Fossum,CMOS Active Pixel Image Sensor Camera-on-a-Chip,eric-r-fossum,"['5,471,515']",2011,"Oct. 17, 1957",
John E. Franz,Glyphosate Herbicide,john-e-franz,"['3,799,758']",2007,"Dec. 21, 1929",
Alfred H. Free,Glucose Detection for Diabetes,alfred-h-free,"['2,848,308']",2000,11-Apr-2013,15-May-2000
Helen M. Free,Glucose Detection for Diabetes,helen-m-free,"['2,912,309']",2000,"Feb. 20, 1923",1-May-2021
Ross Freeman,Field Programmable Gate Array (FPGA),ross-freeman,"['4,870,302']",2009,26-Jul-1948,"Oct. 22, 1989"
Harold Froehlich,Alvin Deep-Sea Submersible,harold-froehlich,"['3,104,641']",2017,13-Jul-2022,19-May-2007
Dov  Frohman-Bentchkowsky,Electrically Programmable Read-Only Memory Array,dov-frohman-bentchkowsky,"['3,744,036']",2009,28-Mar-1939,
Arthur L. Fry,Post-it® Notes,arthur-l-fry,"['5,194,299']",2010,"Aug. 19, 1931",
Calvin Fuller,Silicon Solar Cell,calvin-fuller,"['2,780,765']",2008,25-May-2002,"Oct. 28, 1994"
Robert Fulton,Steamboat,robert-fulton,missing,2006,"Nov. 14, 1765","Feb. 24, 1815"
