name,invention,url_name,patent,induction_year,birth_date,death_date,meta1,meta2,meta3,meta4
Mary Anderson,Windshield Wiper,mary-anderson,"['743,801']",2011,"Feb. 19, 1866","June 27, 1953","U.S. Patent No. 743,801",Inducted in 2011,"BornFeb. 19, 1866 - DiedJune 27, 1953",
R. Rox Anderson,Laser Dermatology,rox-anderson,"['5,595,568']",2022,"Oct. 30, 1950",,"U.S. Patent No. 5,595,568",Inducted in 2022,"BornOct. 30, 1950",
J. Roger P. Angel,Lightweight Mirrors for Astronomical Telescopes,j-roger-p-angel,"['4,606,960']",2016,"Feb. 7, 1941",,"U.S. Patent No. 4,606,960",Inducted in 2016,"BornFeb. 7, 1941",
George Antheil,Frequency Hopping Communication System,george-antheil,"['2,292,387']",2014,"July 8, 1900","Feb. 12, 1959","U.S. Patent No. 2,292,387",Inducted in 2014,"BornJuly 8, 1900 - DiedFeb. 12, 1959",
Thomas J. Armat,Vitascope,thomas-j-armat,"['580,749']",2011,"Oct. 25, 1866","Sept. 30, 1948","U.S. Patent No. 580,749",Inducted in 2011,"BornOct. 25, 1866 - DiedSept. 30, 1948",
Edwin Howard Armstrong,FM Radio,edwin-howard-armstrong,"['1,342,885']",1980,"Dec. 18, 1890","Feb. 1, 1954","U.S. Patent No. 1,342,885",Inducted in 1980,"BornDec. 18, 1890 - DiedFeb. 1, 1954",Military Service: U.S. Army
Don Arney,Bambi Bucket® for Aerial Firefighting,don-arney,"['4,474,245']",2017,"May 27, 1947",,"U.S. Patent No. 4,474,245",Inducted in 2017,"BornMay 27, 1947",
Frances Arnold,Directed Evolution of Enzymes,frances-arnold,"['6,153,410']",2014,"July 25, 1956",,"U.S. Patent No. 6,153,410",Inducted in 2014,"BornJuly 25, 1956",
Chieko Asakawa,Home Page Reader,chieko-asakawa,"['7,197,462']",2019,"Nov. 21, 1958",,"U.S. Patent No. 7,197,462",Inducted in 2019,"BornNov. 21, 1958",
Arthur Ashkin,Optical Trapping,arthur-ashkin,"['3,710,279', '4,893,886']",2013,"Sept. 2, 1922","Sept. 21, 2020","U.S. Patent Nos. 3,710,279; 4,893,886",Inducted in 2013,"BornSept. 2, 1922 - DiedSept. 21, 2020",Military Service: U.S. Army
Martin (John) M. Atalla,MOSFET,martin-john-m-atalla,"['3,206,670']",2009,"Aug. 4, 1924","Dec. 30, 2009","U.S. Patent No. 3,206,670",Inducted in 2009,"BornAug. 4, 1924 - DiedDec. 30, 2009",
Alpheus Babcock,Cast-Iron Piano Frame,alpheus-babcock,missing,2007,"Sept. 11, 1785","April 3, 1842",Inducted in 2007,"BornSept. 11, 1785 - DiedApril 3, 1842",,
George H. Babcock,Improvement in Steam Generators,george-h-babcock,"['65,042']",1997,"June 17, 1832","Dec. 16, 1893","U.S. Patent No. 65,042",Inducted in 1997,"BornJune 17, 1832 - DiedDec. 16, 1893",
Roger Bacon,High-Performance Carbon Fibers,roger-bacon,"['2,957,756']",2016,"April 16, 1926","Jan. 26, 2007","U.S. Patent No. 2,957,756",Inducted in 2016,"BornApril 16, 1926 - DiedJan. 26, 2007",
Leo Hendrik Baekeland,Bakelite,leo-hendrik-baekeland,"['942,699']",1978,"Nov. 14, 1863","Feb. 23, 1944","U.S. Patent No. 942,699",Inducted in 1978,"BornNov. 14, 1863 - DiedFeb. 23, 1944",
John Baer,Thiazide Diuretics (Chlorothiazide),john-baer,"['3,476,858']",2019,"April 25, 1917","Aug. 17, 2003","U.S. Patent No. 3,476,858",Inducted in 2019,"BornApril 25, 1917 - DiedAug. 17, 2003",
Ralph H. Baer,Video Games,ralph-h-baer,"['3,728,480']",2010,"March 8, 1922","Dec. 6, 2014","U.S. Patent No. 3,728,480",Inducted in 2010,"BornMarch 8, 1922 - DiedDec. 6, 2014",Military Service: U.S. Army
Rodney D. Bagley,Ceramic Substrate in Catalytic Converters,rodney-d-bagley,"['3,790,654']",2002,"Oct. 2, 1934","April 13, 2023","U.S. Patent No. 3,790,654",Inducted in 2002,"BornOct. 2, 1934 - DiedApril 13, 2023",
Shankar Balasubramanian,Sequencing-by-Synthesis (SBS),shankar-balasubramanian,"['6,787,308']",2024,"Sept. 30, 1966",,"U.S. Patent No. 6,787,308",Inducted in 2024,"BornSept. 30, 1966",
Matthias Baldwin,Locomotive Engine,matthias-baldwin,missing,2005,"Dec. 10, 1795","Sept. 7, 1886",Inducted in 2005,"BornDec. 10, 1795 - DiedSept. 7, 1886",,
Bantval Jayant Baliga,Insulated Gate Bipolar Transistor,bantval-jayant-baliga,"['4,969,028', '5,998,833']",2016,"April 28, 1948",,"U.S. Patent Nos. 4,969,028; 5,998,833",Inducted in 2016,"BornApril 28, 1948",
Robert Banks,High-Density Polyethylene and Polypropylene Plastics,robert-banks,"['2,825,721']",2001,"Nov. 24, 1921","Jan. 3, 1989","U.S. Patent No. 2,825,721",Inducted in 2001,"BornNov. 24, 1921 - DiedJan. 3, 1989",
Frederick Banting,"Isolated, Purified Insulin",frederick-banting,"['1,469,994']",2004,"Nov. 14, 1891","Feb. 21, 1941","U.S. Patent No. 1,469,994",Inducted in 2004,"BornNov. 14, 1891 - DiedFeb. 21, 1941",
Paul Baran,Digital Packet Switching,paul-baran,"['4,438,511']",2007,"April 29, 1926","March 26, 2011","U.S. Patent No. 4,438,511",Inducted in 2007,"BornApril 29, 1926 - DiedMarch 26, 2011",
John Bardeen,Transistor,john-bardeen,"['2,502,488', '2,524,035']",1974,"May 23, 1908","Jan. 30, 1991","U.S. Patent Nos. 2,502,488; 2,524,035",Inducted in 1974,"BornMay 23, 1908 - DiedJan. 30, 1991",
Rodolphe Barrangou,CRISPR-enhanced Food Products,rodolphe-barrangou,"['9,879,269', '9,951,342']",2023,"Sept. 15, 1975",,"U.S. Patent Nos. 9,879,269; 9,951,342",Inducted in 2023,"BornSept. 15, 1975",
C. Donald Bateman,Ground Proximity Warning System,c-donald-bateman,"['3,922,637']",2005,"March 8, 1932","May 21, 2023","U.S. Patent No. 3,922,637",Inducted in 2005,"BornMarch 8, 1932 - DiedMay 21, 2023",
Patricia Bath,Laserphaco Cataract Surgery,patricia-bath,"['4,744,360']",2022,"Nov. 4, 1942","May 30, 2019","U.S. Patent No. 4,744,360",Inducted in 2022,"BornNov. 4, 1942 - DiedMay 30, 2019",
Andrew J. Beard,Jenny Coupler for Railroad Cars,andrew-j-beard,"['594,059']",2006,"Jan. 1, 1849","Jan. 1, 1921","U.S. Patent No. 594,059",Inducted in 2006,"BornJan. 1, 1849 - DiedJan. 1, 1921",
Arnold O. Beckman,pH Meter,arnold-o-beckman,"['2,058,761']",1987,"April 10, 1900","May 18, 2004","U.S. Patent No. 2,058,761",Inducted in 1987,"BornApril 10, 1900 - DiedMay 18, 2004",Military Service: U.S. Marine Corps
Semi Joseph Begun,Magnetic Recording,semi-joseph-begun,"['2,048,487', '2,048,488']",1998,"Dec. 2, 1905","Jan. 5, 1995","U.S. Patent Nos. 2,048,487; 2,048,488",Inducted in 1998,"BornDec. 2, 1905 - DiedJan. 5, 1995",
Alexander Graham Bell,Improvement in Telegraphy,alexander-graham-bell,"['174,465']",1974,"March 3, 1847","Aug. 2, 1922","U.S. Patent No. 174,465",Inducted in 1974,"BornMarch 3, 1847 - DiedAug. 2, 1922",
Ruth Benerito,Wrinkle-Free Cotton,ruth-benerito,"['3,432,252']",2008,"Jan. 12, 1916","Oct. 5, 2013","U.S. Patent No. 3,432,252",Inducted in 2008,"BornJan. 12, 1916 - DiedOct. 5, 2013",
Willard H. Bennett,Radio Frequency Mass Spectrometer,willard-h-bennett,"['2,721,271']",1991,"June 13, 1903","Sept. 28, 1987","U.S. Patent No. 2,721,271",Inducted in 1991,"BornJune 13, 1903 - DiedSept. 28, 1987",Military Service: U.S. Army
Carl Benz,Modern Automobile,carl-benz,"['385,087']",2022,"Nov. 25, 1844","April 4, 1929","U.S. Patent No. 385,087",Inducted in 2022,"BornNov. 25, 1844 - DiedApril 4, 1929",
Evelyn Berezin,Computer Systems for Business Use,evelyn-berezin,"['3,253,262']",2022,"April 12, 1925","Dec. 8, 2018","U.S. Patent No. 3,253,262",Inducted in 2022,"BornApril 12, 1925 - DiedDec. 8, 2018",
Emile Berliner,Gramophone / Microphone,emile-berliner,"['372,786', '463,569']",1994,"May 20, 1851","Aug. 3, 1929","U.S. Patent Nos. 372,786; 463,569",Inducted in 1994,"BornMay 20, 1851 - DiedAug. 3, 1929",
Carolyn Bertozzi,Bioorthogonal Chemistry,carolyn-bertozzi,"['7,807,619']",2017,"Oct. 10, 1966",,"U.S. Patent No. 7,807,619",Inducted in 2017,"BornOct. 10, 1966",
Henry Bessemer,Bessemer Process,henry-bessemer,"['16,082']",2002,"Jan. 19, 1813","March 15, 1898","U.S. Patent No. 16,082",Inducted in 2002,"BornJan. 19, 1813 - DiedMarch 15, 1898",
Charles Best,"Isolated, Purified Insulin",charles-best,"['1,469,994']",2004,"Feb. 27, 1899","March 31, 1978","U.S. Patent No. 1,469,994",Inducted in 2004,"BornFeb. 27, 1899 - DiedMarch 31, 1978",
Eric Betzig,Photoactivated Localization Microscopy (PALM),eric-betzig,"['7,535,012']",2024,"Jan. 13, 1960",,"U.S. Patent No. 7,535,012",Inducted in 2024,"BornJan. 13, 1960",
Karl H. Beyer Jr.,Thiazide Diuretics (Chlorothiazide),karl-beyer-jr,"['2,789,938']",2019,"June 19, 1914","Dec. 2, 1996","U.S. Patent No. 2,789,938",Inducted in 2019,"BornJune 19, 1914 - DiedDec. 2, 1996",
Erastus B. Bigelow,Power Loom,erastus-b-bigelow,['169'],2006,"April 2, 1814","Dec. 6, 1879",U.S. Patent No. 169,Inducted in 2006,"BornApril 2, 1814 - DiedDec. 6, 1879",
Edwin Binney,Manufacturing Lamp Black,edwin-binney,"['453,140']",2011,"Nov. 24, 1866","Dec. 17, 1934","U.S. Patent No. 453,140",Inducted in 2011,"BornNov. 24, 1866 - DiedDec. 17, 1934",
Gerd Karl Binnig,Scanning Tunneling Microscope,gerd-karl-binnig,"['4,343,993']",1994,"July 20, 1947",,"U.S. Patent No. 4,343,993",Inducted in 1994,"BornJuly 20, 1947",
Forrest M. Bird,Medical Respirator,forrest-m-bird,"['3,068,856', '3,191,596', '3,842,828']",1995,"June 9, 1921","Aug. 2, 2015","U.S. Patent Nos. 3,068,856; 3,191,596; 3,842,828",Inducted in 1995,"BornJune 9, 1921 - DiedAug. 2, 2015","Military Service: U.S. Army Air Corps,U.S. Air Force"
John Birden,Radioisotope Thermoelectric Generator (RTG),john-birden,"['2,913,510']",2013,"Nov. 23, 1918","Nov. 3, 2011","U.S. Patent No. 2,913,510",Inducted in 2013,"BornNov. 23, 1918 - DiedNov. 3, 2011",
Clarence Birdseye,Frozen Foods,clarence-birdseye,"['1,773,079']",2005,"Dec. 9, 1886","Oct. 7, 1956","U.S. Patent No. 1,773,079",Inducted in 2005,"BornDec. 9, 1886 - DiedOct. 7, 1956",
Laszlo Josef Biro,Ballpoint Pen,laszlo-josef-biro,"['2,390,636']",2007,"Sept. 29, 1899","Oct. 24, 1985","U.S. Patent No. 2,390,636",Inducted in 2007,"BornSept. 29, 1899 - DiedOct. 24, 1985",
Donald L. Bitzer,Plasma Display,donald-l-bitzer,"['3,559,190']",2013,"Jan. 1, 1934",,"U.S. Patent No. 3,559,190",Inducted in 2013,"BornJan. 1, 1934",
Harold Stephen Black,Negative Feedback Amplifier,harold-stephen-black,"['2,102,671']",1981,"April 14, 1898","Dec. 11, 1983","U.S. Patent No. 2,102,671",Inducted in 1981,"BornApril 14, 1898 - DiedDec. 11, 1983",
S. Duncan Black,Portable Hand-Held Electric Drill,s-duncan-black,"['1,245,860']",2019,"Aug. 2, 1883","April 15, 1951","U.S. Patent No. 1,245,860",Inducted in 2019,"BornAug. 2, 1883 - DiedApril 15, 1951",
Eli Whitney Blake,Machine for Crushing Stone,eli-whitney-blake,"['20,542']",2007,"Jan. 26, 1795","Aug. 18, 1886","U.S. Patent No. 20,542",Inducted in 2007,"BornJan. 26, 1795 - DiedAug. 18, 1886",
Helen Blanchard,Zig-Zag Sewing Machine,helen-blanchard,"['141,987']",2006,"Aug. 25, 1840","Jan. 12, 1922","U.S. Patent No. 141,987",Inducted in 2006,"BornAug. 25, 1840 - DiedJan. 12, 1922",
Thomas Blanchard,Pattern Lathe,thomas-blanchard,missing,2006,"June 24, 1788","April 16, 1864",Inducted in 2006,"BornJune 24, 1788 - DiedApril 16, 1864",,
Sylvia Blankenship,"1-MCP for Fruit, Vegetable and Flower Freshness",sylvia-blankenship,"['5,518,988']",2022,"Sept. 10, 1954",,"U.S. Patent No. 5,518,988",Inducted in 2022,"BornSept. 10, 1954",
Katharine Burr Blodgett,Langmuir-Blodgett Films,katharine-burr-blodgett,"['2,220,860']",2007,"Jan. 10, 1898","Oct. 12, 1979","U.S. Patent No. 2,220,860",Inducted in 2007,"BornJan. 10, 1898 - DiedOct. 12, 1979",
Samuel E. Blum,Excimer Laser Surgery,samuel-e-blum,"['4,784,135']",2002,"Aug. 28, 1920","Jan. 9, 2013","U.S. Patent No. 4,784,135",Inducted in 2002,"BornAug. 28, 1920 - DiedJan. 9, 2013",Military Service: U.S. Navy
Baruch S. Blumberg,Vaccine for Hepatitis B,baruch-s-blumberg,"['3,636,191', '3,872,225']",1993,"July 28, 1925","April 5, 2011","U.S. Patent Nos. 3,636,191; 3,872,225",Inducted in 1993,"BornJuly 28, 1925 - DiedApril 5, 2011",Military Service: U.S. Navy
James Bogardus,Iron Buildings,james-bogardus,"['7,337']",2007,"March 14, 1800","April 13, 1874","U.S. Patent No. 7,337",Inducted in 2007,"BornMarch 14, 1800 - DiedApril 13, 1874",
Nils I. Bohlin,Safety Belt,nils-i-bohlin,"['3,043,625']",2002,"July 17, 1920","Sept. 21, 2002","U.S. Patent No. 3,043,625",Inducted in 2002,"BornJuly 17, 1920 - DiedSept. 21, 2002",
Joseph-Armand Bombardier,Snowmobile,joseph-armand-bombardier,"['3,023,824']",2024,"April 16, 1907","Feb. 18, 1964","U.S. Patent No. 3,023,824",Inducted in 2024,"BornApril 16, 1907 - DiedFeb. 18, 1964",
Dana Bookbinder,Bend-Insensitive Optical Fiber,dana-bookbinder,"['7,450,806', '7,903,917', '8,385,701']",2022,"Nov. 30, 1956",,"U.S. Patent Nos. 7,450,806; 7,903,917; 8,385,701",Inducted in 2022,"BornNov. 30, 1956",
"Gail Borden, Jr.",Process for Condensing Milk,gail-borden,"['15,553']",2006,"Nov. 9, 1801","Jan. 11, 1874","U.S. Patent No. 15,553",Inducted in 2006,"BornNov. 9, 1801 - DiedJan. 11, 1874",
Carl Bosch,Process of Producing Ammonia,carl-bosch,"['990,191']",2006,"Aug. 27, 1874","April 26, 1940","U.S. Patent No. 990,191",Inducted in 2006,"BornAug. 27, 1874 - DiedApril 26, 1940",
Amar Bose,Feedback Control,amar-bose,"['4,494,074']",2008,"Nov. 2, 1929","July 12, 2013","U.S. Patent No. 4,494,074",Inducted in 2008,"BornNov. 2, 1929 - DiedJuly 12, 2013",
Robert W. Bower,Self-Aligned Gate MOSFET,robert-w-bower,"['3,472,712']",1997,"June 12, 1936",,"U.S. Patent No. 3,472,712",Inducted in 1997,"BornJune 12, 1936",Military Service: U.S. Air Force
William Bowerman,Modern Athletic Shoe,william-bowerman,"['3,793,750']",2014,"Feb. 19, 1911","Dec. 24, 1999","U.S. Patent No. 3,793,750",Inducted in 2014,"BornFeb. 19, 1911 - DiedDec. 24, 1999",Military Service: U.S. Army
Seth Boyden,Process for Making Malleable Iron,seth-boyden,missing,2006,"Nov. 17, 1788","March 31, 1870",Inducted in 2006,"BornNov. 17, 1788 - DiedMarch 31, 1870",,
Herbert W. Boyer,Genetic Engineering,herbert-w-boyer,"['4,237,224']",2001,"July 10, 1936",,"U.S. Patent No. 4,237,224",Inducted in 2001,"BornJuly 10, 1936",
Otis Boykin,Electronic Resistors,otis-boykin,"['2,891,227']",2014,"Aug. 29, 1920","March 1, 1982","U.S. Patent No. 2,891,227",Inducted in 2014,"BornAug. 29, 1920 - DiedMarch 1, 1982",
Willard S. Boyle,Charge-Coupled Device,willard-s-boyle,"['3,858,232']",2006,"Aug. 19, 1924","May 7, 2011","U.S. Patent No. 3,858,232",Inducted in 2006,"BornAug. 19, 1924 - DiedMay 7, 2011",Military Service: Royal Canadian Navy
Milton Bradley,Game Board,milton-bradley,"['53,561']",2006,"Nov. 8, 1836","May 30, 1911","U.S. Patent No. 53,561",Inducted in 2006,"BornNov. 8, 1836 - DiedMay 30, 1911",
Jacques E. Brandenberger,Cellophane,jacques-e-brandenberger,"['1,266,766']",2006,"Oct. 19, 1872","July 13, 1954","U.S. Patent No. 1,266,766",Inducted in 2006,"BornOct. 19, 1872 - DiedJuly 13, 1954",
Per-Ingvar Brånemark,Modern Dental Implant,ingvar-branemark,"['4,988,299']",2016,"May 3, 1929","Dec. 20, 2014","U.S. Patent No. 4,988,299",Inducted in 2016,"BornMay 3, 1929 - DiedDec. 20, 2014",
Charles F. Brannock,Foot-Measuring Device,charles-f-brannock,"['1,682,366']",1992,"May 16, 1903","Nov. 22, 1992","U.S. Patent No. 1,682,366",Inducted in 1992,"BornMay 16, 1903 - DiedNov. 22, 1992",
Walter H. Brattain,Transistor,walter-h-brattain,"['2,502,488', '2,524,035']",1974,"Feb. 10, 1902","Oct. 13, 1987","U.S. Patent Nos. 2,502,488; 2,524,035",Inducted in 1974,"BornFeb. 10, 1902 - DiedOct. 13, 1987",
Yvonne Brill,Electrothermal Hydrazine Resistojet,yvonne-brill,"['3,807,657']",2010,"Dec. 30, 1924","March 27, 2013","U.S. Patent No. 3,807,657",Inducted in 2010,"BornDec. 30, 1924 - DiedMarch 27, 2013",
Angela Hartley Brodie,Aromatase Inhibitors,angela-hartley-brodie,"['4,235,893']",2023,"Sept. 28, 1934","June 7, 2017","U.S. Patent No. 4,235,893",Inducted in 2023,"BornSept. 28, 1934 - DiedJune 7, 2017",
Garrett W. Brown,Steadicam® Camera Stabilizer,garrett-w-brown,"['4,017,168']",2013,"April 6, 1942",,"U.S. Patent No. 4,017,168",Inducted in 2013,"BornApril 6, 1942",
Rachel Fuller Brown,Nystatin (Antifungal / Antibiotic),rachel-fuller-brown,"['2,797,183']",1994,"Nov. 23, 1898","Jan. 14, 1980","U.S. Patent No. 2,797,183",Inducted in 1994,"BornNov. 23, 1898 - DiedJan. 14, 1980",
John Moses Browning,Breech-Loading Firearm,john-moses-browning,"['220,271']",2007,"Jan. 23, 1855","Nov. 26, 1926","U.S. Patent No. 220,271",Inducted in 2007,"BornJan. 23, 1855 - DiedNov. 26, 1926",
Charles F. Brush,Arc Lamp for Street Lighting,charles-f-brush,"['203,411']",2006,"March 17, 1849","June 15, 1929","U.S. Patent No. 203,411",Inducted in 2006,"BornMarch 17, 1849 - DiedJune 15, 1929",
Robert Bryant,LaRC-SI (Langley Research Center-Soluble Imide),robert-bryant,"['5,639,850', '5,741,883', '6,048,959']",2023,"April 30, 1962",,"U.S. Patent Nos. 5,639,850; 5,741,883; 6,048,959",Inducted in 2023,"BornApril 30, 1962",
Edward W. Bullard,Hard Hat,edward-bullard,"['1,699,133']",2022,"Dec. 1, 1893","April 18, 1963","U.S. Patent No. 1,699,133",Inducted in 2022,"BornDec. 1, 1893 - DiedApril 18, 1963",Military Service: U.S. Army
Francis P. Bundy,Diamond Synthesis,francis-p-bundy,"['2,947,611']",2010,"Sept. 1, 1910","Feb. 23, 2008","U.S. Patent No. 2,947,611",Inducted in 2010,"BornSept. 1, 1910 - DiedFeb. 23, 2008",
Luther Burbank,Peach and Other Fruit,luther-burbank,[],1986,"March 7, 1849","April 11, 1926",U.S. Patent No. PP15,Inducted in 1986,"BornMarch 7, 1849 - DiedApril 11, 1926",
Joseph H. Burckhalter,Isothiocyanate Compounds for Antigen Identification,joseph-h-burckhalter,"['2,937,186']",1995,"Oct. 9, 1912","May 9, 2004","U.S. Patent No. 2,937,186",Inducted in 1995,"BornOct. 9, 1912 - DiedMay 9, 2004",
John Francis Burke,Regenerated Skin,john-francis-burke,"['4,418,691']",2015,"July 22, 1922","Nov. 2, 2011","U.S. Patent No. 4,418,691",Inducted in 2015,"BornJuly 22, 1922 - DiedNov. 2, 2011",Military Service: U.S. Army Air Corps
William Seward Burroughs,Calculator,william-seward-burroughs,"['388,116']",1987,"Jan. 28, 1857","Sept. 14, 1898","U.S. Patent No. 388,116",Inducted in 1987,"BornJan. 28, 1857 - DiedSept. 14, 1898",
William Meriam Burton,Catalytic Cracking,william-meriam-burton,"['1,049,667']",1984,"Nov. 17, 1865","Dec. 29, 1954","U.S. Patent No. 1,049,667",Inducted in 1984,"BornNov. 17, 1865 - DiedDec. 29, 1954",
Vannevar Bush,Differential Analyzer,vannevar-bush,"['2,032,253']",2004,"March 11, 1890","June 28, 1974","U.S. Patent No. 2,032,253",Inducted in 2004,"BornMarch 11, 1890 - DiedJune 28, 1974",
Edward A. Calahan,Stock Ticker,edward-calahan,"['76,157']",2006,"Jan. 1, 1838","Jan. 1, 1912","U.S. Patent No. 76,157",Inducted in 2006,"BornJan. 1, 1838 - DiedJan. 1, 1912",
Harry Cameron,Blowout Preventer (BOP),harry-cameron,"['1,569,247']",2022,"July 9, 1872","May 31, 1928","U.S. Patent No. 1,569,247",Inducted in 2022,"BornJuly 9, 1872 - DiedMay 31, 1928",
Donald L. Campbell,Fluid Catalytic Cracking,donald-l-campbell,"['2,451,804']",1999,"Aug. 5, 1904","Sept. 14, 2002","U.S. Patent No. 2,451,804",Inducted in 1999,"BornAug. 5, 1904 - DiedSept. 14, 2002",
George Ashley Campbell,Electric Wave Filter,george-ashley-campbell,"['1,227,113']",2011,"Nov. 27, 1870","Nov. 10, 1954","U.S. Patent No. 1,227,113",Inducted in 2011,"BornNov. 27, 1870 - DiedNov. 10, 1954",
Marvin Camras,Magnetic Recording,marvin-camras,"['2,351,004']",1985,"Jan. 1, 1916","June 23, 1995","U.S. Patent No. 2,351,004",Inducted in 1985,"BornJan. 1, 1916 - DiedJune 23, 1995",
Chester F. Carlson,Xerographic Printing,chester-f-carlson,"['2,297,691']",1981,"Feb. 8, 1906","Sept. 19, 1968","U.S. Patent No. 2,297,691",Inducted in 1981,"BornFeb. 8, 1906 - DiedSept. 19, 1968",
Wallace Hume Carothers,Synthetic Rubber,wallace-hume-carothers,"['2,130,947', '2,130,948']",1984,"April 27, 1896","April 29, 1937","U.S. Patent Nos. 2,130,947; 2,130,948",Inducted in 1984,"BornApril 27, 1896 - DiedApril 29, 1937",
Willis Haviland Carrier,Air Conditioner,willis-haviland-carrier,"['808,897']",1985,"Nov. 26, 1876","Oct. 7, 1950","U.S. Patent No. 808,897",Inducted in 1985,"BornNov. 26, 1876 - DiedOct. 7, 1950",
George R. Carruthers,Far Ultraviolet Electrographic Camera,george-r-carruthers,"['3,478,216']",2003,"Oct. 1, 1939","Dec. 26, 2020","U.S. Patent No. 3,478,216",Inducted in 2003,"BornOct. 1, 1939 - DiedDec. 26, 2020",
Marvin Caruthers,Chemical Synthesis of DNA,marvin-caruthers,"['4,415,732', '4,458,066']",2018,"Feb. 11, 1940",,"U.S. Patent Nos. 4,415,732; 4,458,066",Inducted in 2018,"BornFeb. 11, 1940",
George Washington Carver,Peanut Products,george-washington-carver,"['1,522,176', '1,541,478']",1990,"Jan. 1, 1864","Jan. 5, 1943","U.S. Patent Nos. 1,522,176; 1,541,478",Inducted in 1990,"BornJan. 1, 1864 - DiedJan. 5, 1943",
Frank J. Cepollina,Satellite Servicing Techniques,frank-j-cepollina,"['3,460,378']",2003,"Dec. 6, 1936",,"U.S. Patent No. 3,460,378",Inducted in 2003,"BornDec. 6, 1936",Military Service: U.S. Army
Vinton G. Cerf,Transmission Control Protocol / Internet Protocol,vinton-g-cerf,"['6,574,628']",2006,"June 23, 1943",,"U.S. Patent No. 6,574,628",Inducted in 2006,"BornJune 23, 1943",
Daryl Chapin,Silicon Solar Cell,daryl-chapin,"['2,780,765']",2008,"July 21, 1906","Jan. 19, 1995","U.S. Patent No. 2,780,765",Inducted in 2008,"BornJuly 21, 1906 - DiedJan. 19, 1995",
