patent_id,patent_type,patent_date,patent_title,patent_abstract,wipo_kind,num_claims,withdrawn,filename
3999756,utility,1976-12-28,Tennis racket," The tennis racket has a strung surface which is larger than the strung surface of a conventional racket, particularly in regard to its dimension in a longitudinal direction from the frame tip toward the handle shaft of the racket. The conventional length, weight, and balance which have proven necessary for good playing characteristics for all tennis rackets of the past have been maintained. The racket has unexpectedly achieved increased strength and a combination of advantages in playing characteristics without resort to weights, springs, or other complications previously proposed. The racket has a zone of high coefficient of restitution, much larger than that of conventional rackets, extending in a longitudinal direction from the region of the center of percussion to a point 11/4 inch from the throat of the racket, thereby taking maximum advantage of the location of the center of percussion of the racket. The zone of high coefficient of restitution is also wider with respect to the corresponding zone on conventional rackets. ",A,18.0,0.0,pftaps19761228_wk52.zip
4010078,utility,1977-03-01,Device for use in the identification of microorganisms," A device for use in the identification of microorganisms comprising, in a preferred form, an open-topped, multi-compartmented microorganism culture media receiving portion and a cover member. Each compartment, or well, of the culture media receiving portion is adapted to receive a solid medium. The number of wells provided, and the type of media employed, enable a wide variety of microorganisms to be identified accurately in the shortest possible time in a single, compact unit. The device can be used with equal facility for the identification of both aerobic and anaerobic microorganisms. ",A,8.0,0.0,pftaps19770301_wk09.zip
4010470,utility,1977-03-01,Multi-function integrated radome-antenna system," A radome-integrated conformal parallel plate radiator for a projectile. An ntenna system consisting of open-ended dielectric load cavity radiators is incorporated into a dielectric radome structure for space conservation and operational versatility. A plurality of individual radiating elements, preferably in the form of wedge-shaped metallic radiators, are flush-mounted on the non-planar surface of a projectile's radome. The interior surface of the hollow radome includes either a solid conductive ground plane deposited thereon or a wire screen mesh ground plane which is transparent to certain frequencies. Each of the exterior mounted wedge-shaped radiators are short-circuited to the ground plane, and may be individually excited and controlled to produce a desired radiation pattern. ",A,10.0,0.0,pftaps19770301_wk09.zip
4017168,utility,1977-04-12,Equipment for use with hand held motion picture cameras," Equipment for use with hand-held motion picture and video cameras comprises a pair of interconnected spring loaded arms, one end of which is pivotally supported by a carrying brace worn by a cameraman and the other end of which is connected to a handle positioned to mount the camera equipment at approximately the center of the moment of inertia. The camera and its associated equipment are mounted in exploded, balanced relation about the handle. The weight of the camera equipment is substantially counterbalanced by the action of the spring loaded arms without employing counterweights. A camera viewer is provided, to facilitate viewing from a position remote from the camera itself and not necessarily governed by the camera orientation. ",A,69.0,0.0,pftaps19770412_wk15.zip
4024271,utility,1977-05-17,Pharmacologically active guanidine compounds," The compounds are substituted thioalkyl-, aminoalkyl- and oxyalkyl-guanidines which are inhibitors of histamine activity. ",A,13.0,0.0,pftaps19770517_wk20.zip
4031893,utility,1977-06-28,Hypodermic injection device having means for varying the medicament capacity thereof," A hypodermic injection device comprising a cartridge holder having a cylindrical body open at one end and closed at the other end, the closed end being provided with an aperture, a cartridge with the holder, the cartridge including an ampoule having a cylindrical sleeve open at one end and having a necked portion at the other end to receive a hub mounting a cannula, the cannula facing the apertured end of the cylindrical body, a piston slidably carried within the sleeve adjacent the open end thereof to define a medicament chamber between the piston and cannula, fluid medicament in the medicament chamber, the piston having a concave face on the side forming one end of the medicament chamber, a spring power assembly adjacent the open end of the ampoule sleeve for moving the cartridge forward and for injecting the fluid medicament, spacer means positionable between the outer face of the piston and the adjacent spring power means to vary the position of the piston within the ampoule sleeve and thereby control the volume of the medicament chamber and the medicament carried therein, a safety assembly for controlling actuation of the spring power assembly, and a resilient sheath covering the cannula to maintain the cannula in sterile condition. ",A,6.0,0.0,pftaps19770628_wk26.zip
4034197,utility,1977-07-05,Digital filter circuit," In U.S. Pat. No. 3,906,199, issued to R. B. Kieburtz and K. V. Mina on Sept. 16, 1975, limit cycle noise is reduced in a second order recursive digital filter by a circuit which randomly inhibits the rounding signal in one of the digital multipliers disposed in the filter. It has been found, however, that in certain instances, this approach results in even longer transients. In accordance with the present invention, random inhibiting is constrained to instances in which limit cycle noise is reduced, by monitoring, with suitable logic circuitry, the signals present in the various feedback loops of the filter. Generally, it has been found that the inhibiting circuit should be allowed to operate only if D.sub.1 and D.sub.2 satisfy predetermined magnitude and polarity relationships, where D.sub.1 .ident. a version of the filter output signal Y(n) that is removed in time by one sample interval, and D.sub.2 .ident. a version of the filter output signal Y(n) that is removed in time by two sample intervals. In accordance with another aspect of the invention, DC and half sampling rate limit cycles are eliminated by monitoring three consecutive values of D.sub.1 or, alternatively, the present values of Y(n), D.sub.1 and D.sub.2. If the same magnitudes are detected, the magnitude of the next D.sub.1 is reduced by one. ",A,29.0,0.0,pftaps19770705_wk27.zip
4053845,utility,1977-10-11,Optically pumped laser amplifiers," Optically pumped laser amplifiers are disclosed. One type of such amplifier utilizes an excitable medium, the atoms, ions or molecules of said medium having well defined energy states including a lowest state, a lower state above said lowest state, and a higher state above said lower state, and a bright pumping light source composed of a radiative substance different from such medium which radiative substance emits energy in a spectral range which can be absorbed by such medium, and wherein the major portion of the energy absorbed by such medium causes transitions of the atoms, ions, or molecules thereof to populate the higher state. Another type of such amplifier utilizes a medium of atoms, ions, or molecules, some of which have broad bands of energy levels corresponding to a broad band of absorption transitions and energy levels corresponding to at least one fluorescent emission transition, the upper energy levels of said broad bands being above the upper level of said fluorescent emission transition, and wherein some of the upper energy levels above the upper level of said fluorescent emission transition are rapidly quenched via non-radiating transitions to the upper level of said fluorescent emission transition. In a preferred embodiment of the latter amplifier, the lower energy level corresponding to the fluorescent emission transition is relaxed by non-radiating transitions. ",A,12.0,0.0,pftaps19771011_wk41.zip
4063220,utility,1977-12-13,Multipoint data communication system with collision detection," Apparatus for enabling communications between two or more data processing stations comprising a communication cable arranged in branched segments including taps distributed thereover. Tied to each tap is a transceiver which on the other side connects to an associated interface stage. Each transceiver includes, in addition to the usual transmitter and receiver sections, a gate which compares the data from the interface stage with the data on the cable and indicates whether such are equal. Should such be unequal, an interference between the transceiver and the cable is indicated, disabling the associated transmitter section. Each interface stage tied to such transceiver also includes an input and an output buffer on the other end thereof interfacing with a using device, such input and output buffers storing both the incoming and outgoing data. The output buffer is connected to a clock-driven shift register which converts the buffered data to a serial stream, feeds such data to a phase encoder, which then connects to the transmitter or driver section of the transceiver. The input buffer is loaded by an input shift register which derives its clock from a phase decoder, the shift register and the phase decoder both connecting to the receiver section. When the station is to start transmitting, the phase decoder detects the presence of other transmissions on the cable and detains the output shift register until no other transmissions are sensed. Once a transmission has begun, if interference is detected and the transmitter section is disabled, a random number generator is used to select an interval of time at the completion of which the next attempted transmission will take place. Concurrently, a counter counts the number of interferences, or collisions, which recur in the attempted transmissions of one data packet and weights the mean of the random number generator accordingly. The input shift register is also connected to an address decoder which enables data transfer to the input buffer only during those times when the data is preceded by an appropriate address. ",A,22.0,0.0,pftaps19771213_wk50.zip
4105776,utility,1978-08-08,Proline derivatives and related compounds, New proline derivatives and related compounds which have the general formula ##STR1## are useful as angiotensin converting enzyme inhibitors. ,A,42.0,0.0,pftaps19780808_wk32.zip
4115730,utility,1978-09-19,Nuclear magnetic resonance apparatus and methods," A nuclear magnetic resonance spin density distribution in a sample is obtained for a selected plane or planes by placing the sample in a static magnetic field, applying a gradient to the field and simultaneously applying selective rf pulses to select a plane or planes in the sample, switching to an orthogonal gradient and simultaneously applying selective rf pulses to select strips in the selected plane or planes and then applying orthogonal field gradients to the sample of such relative magnitudes that each point of the selected strips is subjected to a resultant magnetic field of amplitude unique to that point. The free induction decay signal is then read out from the strips. ",A,9.0,0.0,pftaps19780919_wk38.zip
4115914,utility,1978-09-26,Electrically erasable non-volatile semiconductor memory," A non-volatile semiconductor storage device comprising a dual gate field effect transistor in which an electrically floating gate acts as a charge storage medium. An insulating layer of an appropriate dielectric material separates the floating gate from the active portion of the transistor. A predetermined section of this insulating layer is relatively thin to permit this section of the floating gate to be relatively close to a corresponding predetermined section of the transistor, thus facilitating the transfer of charges between the transistor substrate and the gate. When charges reach the floating gate either through tunneling or avalanche injection, they are entrapped and stored there, thus providing memory in the structure. That is, the electric field induced by these charges is maintained in the transistor even after the field inducing force is removed. Erasing is achieved by removing the charges from the floating gate by reverse tunneling through the relatively thinner insulator region. ",A,12.0,0.0,pftaps19780926_wk39.zip
4128880,utility,1978-12-05,Computer vector register processing," Vector processing in a computer is achieved by means of a plurality of vector registers, a plurality of independent fully segmented functional units, and means for controlling the operation of the vector registers. Operations are performed on data from vector register to functional unit and back to vector register with minimal delay, rather than memory to functional unit and return to memory with its attendant much greater start-up delays. Data may be bulk transferred between memory and some vector registers while other vector registers are involved in vector processing with one or more functional units. In vector processing elements of one or more vector registers are successively transmitted as operands to a functional unit at a rate of one per clock period, and results are transmitted from a functional unit to a receiving vector register at the same rate. In a chaining mode of operation, the elements in a result vector register become available for immediate and simultaneous transmission as operands to another functional unit. In this mode, more than one result can be obtained per clock period. ",A,12.0,0.0,pftaps19781205_wk49.zip
4131919,utility,1978-12-26,Electronic still camera,"Electronic imaging apparatus, preferably an electronic still camera, employs an inexpensive information-recording medium such as audio-grade magnetic tape for ""capturing"" scene images. The camera includes a charge coupled device comprised of an array of photosensitive elements which form a charge pattern corresponding to an optical image projected onto the elements during an exposure interval. A charge transfer circuit converts the charge pattern into a high frequency pulsed electrical signal immediately following the exposure interval to remove the charge from the device in a short period of time to maintain unwanted ""dark current"" at a low level. Each pulse represents the image-forming light projected onto a particular photosensitive element. A high speed analog-to-digital converter converts these pulses to multi-bit digital words in real time. A digital buffer memory temporarily stores these words, then retransmits them at a rate that is compatible for recording on the audio-grade tape. The image can be displayed on a conventional television receiver by reading the recorded words from the tape and converting them to a format compatible with the signal-receiving circuitry of the television.",A,8.0,0.0,pftaps19781226_wk52.zip
4135240,utility,1979-01-16,Protection of data file contents," An improved arrangement for controlling access to data files by computer users. Access permission bits are used in the prior art to separately indicate permissions for the file owner and nonowners to read, write and execute the file contents. An additional access control bit is added to each executable file. When this bit is set to one, the identification of the current user is changed to that of the owner of the executable file. The program in the executable file then has access to all data files owned by the same owner. This change is temporary, the proper identification being restored when the program is terminated. ",A,4.0,0.0,pftaps19790116_wk03.zip
4136359,utility,1979-01-23,Microcomputer for use with video display,"A microcomputer including a video generator and timing means which provides color and high resolution graphics on a standard, raster scanned, cathode ray tube is disclosed. A horizontal synchronization counter is synchronized at an odd-submultiple of the color subcarrier reference frequency. A ""delayed"" count is employed in the horizontal synchronization counter to compensate for color subcarrier phase reversals between lines for the non-interlaced fields. This permits vertically aligned color graphics without substantially altering the standard horizontal synchronization frequency. Video color signals are generated directly from digital signals by employing a recirculating shift register.",A,8.0,0.0,pftaps19790123_wk04.zip
4164560,utility,1979-08-14,Systems for the controlled release of macromolecules," Delivery systems manufactured in the form of polymeric compositions for the controlled delivery of macromolecules to environments of use are disclosed. The systems are characterized as two-phase compositions comprising a phase formed of an insoluble polymeric matrix having limited water sorptivity containing in admixture therein an interpenetrating phase formed of a particulate hydrophilic water swellable, biologically active macromolecular material. ",A,12.0,0.0,pftaps19790814_wk33.zip
4174717,utility,1979-11-20,Athletic brassiere," An athletic brassiere, particularly suitable for women runners, holds the breasts comfortably and snugly to the body. A wide elastic rib band and elastic straps which cross in the back hold the brassiere firmly in place. Non-irritating material is used and all seams face the outside. All hardware is eliminated. The cups are not shaped but are preferably made of elastic material to pull the breasts in snugly against the body. ",A,9.0,0.0,pftaps19791120_wk47.zip
4200770,utility,1980-04-29,Cryptographic apparatus and method," A cryptographic system transmits a computationally secure cryptogram over an insecure communication channel without prearrangement of a cipher key. A secure cipher key is generated by the conversers from transformations of exchanged transformed signals. The conversers each possess a secret signal and exchange an initial transformation of the secret signal with the other converser. The received transformation of the other converser's secret signal is again transformed with the receiving converser's secret signal to generate a secure cipher key. The transformations use non-secret operations that are easily performed but extremely difficult to invert. It is infeasible for an eavesdropper to invert the initial transformation to obtain either conversers' secret signal, or duplicate the latter transformation to obtain the secure cipher key. ",A,8.0,0.0,pftaps19800429_wk18.zip
4202340,utility,1980-05-13,"Method and apparatus for monitoring heart activity, detecting abnormalities, and cardioverting a malfunctioning heart"," Disclosed is a method and an apparatus for monitoring heart activity, for indicating or detecting abnormalities in such activity, and for taking corrective measures to return an arrhythmic heart to normal sinus rhythm. In one embodiment, monitoring and detecting are accomplished by developing a probability density function from ECG signals, or by sampling at least two portions of a probability density function. In another embodiment, a phase lock loop circuit is utilized to indicate fibrillation by the loop's inability to lock onto R--R interval signals. And in still another embodiment, cardiac electrodes are used to sense pulsatile impedance changes, absent in the presence of fibrillation. Also disclosed is a two-stage detector whose second stage is brought out of a stand-by state only after an arrhythmic condition is indicated by the first stage. ",A,16.0,0.0,pftaps19800513_wk20.zip
4206892,utility,1980-06-10,Lightweight aircraft," An efficient aircraft utilizes a stabilizer spaced from a fixed wing, and supported for controlled rolling about an axis extending generally in a forward direction, to control aircraft yaw. The stabilizer extends generally horizontally in straight forward flight. Pitch of the stabilizer is also controlled. ",A,12.0,0.0,pftaps19800610_wk24.zip
4213187,utility,1980-07-15,Digital filters with control of limit cycles," Limit cycles are eliminated in digital filters driven by zero, d.c. and period 2 inputs, by adjusting the filter output in response to the state variables present within the filter. The filter includes a quantizer (201) adapted to provide a fixed length output word p in response to an input y, where p<y<p+k and k is the quantizer step size. The filter is further arranged to form the products a.multidot.X.sub.n and b.multidot.X.sub.n, where a and b are multiplier coefficients and X.sub.n and X.sub.n-1, the state variables, are once and twice delayed versions of the filter output X.sub.n+1, and to combine the aforesaid products and the filter input U.sub.n to yield the value y. In accordance with the invention, the quantizer output is adjusted to p+k, if PA1 X.sub.n-1 >p+k or PA1 X.sub.n-1 =p and .vertline.X.sub.n +Sgn(a)X.sub.n-1 .vertline..gtoreq.T or PA1 X.sub.n-1 =p+k and .vertline.X.sub.n +Sgn(a)S.sub.n-1 .vertline.<T, where T is a fixed threshold value and Sgn(a) is the sign of the multiplier coefficient a. ",A,9.0,0.0,pftaps19800715_wk29.zip
4235893,utility,1980-11-25,"Ester derivatives of 4-hydroxy-4-androstene-3,17-dione and a method for inhibiting estrogen biosynthesis"," This invention relates to ester derivatives of 4-hydroxy-4-androstene-3,17-dione (4-OH-4-A), including the acetate, heptanoate, dodecanoate, hemisuccinate and benzoate esters of 4-OH-4-A. This invention also relates to a method of using the esters in the inhibition of estrogen biosynthesis. ",A,6.0,0.0,pftaps19801125_wk48.zip
4237224,utility,1980-12-02,Process for producing biologically functional molecular chimeras," Method and compositions are provided for replication and expression of exogenous genes in microorganisms. Plasmids or virus DNA are cleaved to provide linear DNA having ligatable termini to which is inserted a gene having complementary termini, to provide a biologically functional replicon with a desired phenotypical property. The replicon is inserted into a microorganism cell by transformation. Isolation of the transformants provides cells for replication and expression of the DNA molecules present in the modified plasmid. The method provides a convenient and efficient way to introduce genetic capability into microorganisms for the production of nucleic acids and proteins, such as medically or commercially useful enzymes, which may have direct usefulness, or may find expression in the production of drugs, such as hormones, antibiotics, or the like, fixation of nitrogen, fermentation, utilization of specific feedstocks, or the like. ",A,14.0,0.0,pftaps19801202_wk49.zip
4295173,utility,1981-10-13,Thin film inductive transducer, A thin film inductive transducer head includes a magnetic circuit with a pair of legs and inductive coils. The legs are thinner near the pole tip than in the back gap region. The legs are also narrower in the pole tip region than in the back gap region. Resolution is enhanced by the thin pole tips and saturation of the yoke structure is avoided by increasing the cross-sectional area of the yoke structure away from the pole tip region. ,A,6.0,0.0,pftaps19811013_wk41.zip
4300182,utility,1981-11-10,Metering and protection system for an A.C. power system," A system for electronically metering an A.C. electrical power system to derive performance parameters such as real and reactive power useful in revenue metering and fault protection applications. Voltage and current sensors associated with the power system provide isolated output signals proportional to the voltage and current in the system. From these signals finite-duration impulse-response filters periodically determine Walsh function correlation coefficients by integrating the voltage and current signals at least once during each period of the power system and periodically sampling and holding the integrated signal in sequence with the integration. The present and a plurality of immediately preceding correlation coefficient values are stored in memory, and by combination of the correlation coefficients by addition, subtraction or multiplication, power system performance parameters, such as real power, reactive power, voltage, current, or power factor, are obtained for utilization in revenue metering or overload protection applications. Related methods are also disclosed. ",A,22.0,0.0,pftaps19811110_wk45.zip
4310440,utility,1982-01-12,Crystalline metallophosphate compositions," A novel family of crystalline, microporous aluminophosphate compositions is synthesized by hydrothermal crystallization at elevated temperatures of aluminophosphate gels containing a molecular structure-forming template. The family comprises a number of distinct species, each with a unique crystal structure. Calcination removes volatile extraneous matter from the intracrystalline void space and yields microporous crystalline adsorbents with uniform pores, the dimensions of which vary, among the individual species, from about 3A to 10A in diameter. The compositions represent a new class of adsorbents of the molecular sieve type, and also exhibit properties somewhat analogous to zeolitic molecular sieves which render them useful as catalysts or catalyst bases in chemical reactions such as hydrocarbon conversions. ",A,26.0,0.0,pftaps19820112_wk02.zip
4314081,utility,1982-02-02,Arloxyphenylpropylamines," 3-Aryloxy-3-phenylpropylamines and acid additions salts thereof, useful as psychotropic agents, particularly as anti-depressants. ",A,9.0,0.0,pftaps19820202_wk05.zip
4343993,utility,1982-08-10,Scanning tunneling microscope," The vacuum tunnel effect is utilized to form a scanning tunneling microscope. In an ultra-high vacuum at cryogenic temperature, a fine tip is raster scanned across the surface of a conducting sample at a distance of a few Angstroms. The vertical separation between the tip and sample surface is automatically controlled so as to maintain constant a measured variable which is proportional to the tunnel resistance, such as tunneling current. The position of the tip with respect to the surface is controlled preferably by piezo electric drive means acting in three coordinate directions. The spatial coordinates of the scanning tip are graphically displayed. This is conveniently done by displaying the drive currents or voltages of piezo electric drives. ",A,12.0,0.0,pftaps19820810_wk32.zip
4356429,utility,1982-10-26,Organic electroluminescent cell," An organic electroluminescent cell is disclosed comprising a luminescent zone between two electrodes, wherein a hole-injecting zone comprising a porphyrinic compound is disposed between the luminescent zone and the anode electrode. ",A,5.0,0.0,pftaps19821026_wk43.zip
4391797,utility,1983-07-05,Systems for the controlled release of macromolecules," Delivery systems manufactured in the form of polymeric compositions for the controlled delivery of macromolecules to environments of use are disclosed. The systems are characterized as two-phase compositions comprising a phase formed of an insoluble polymeric matrix having limited water sorptivity containing in admixture therein an interpenetrating phase formed of a particulate hydrophilic water swellable, biologically active macromolecular material. ",A,20.0,0.0,pftaps19830705_wk27.zip
4404216,utility,1983-09-13,"Antifungal 1,3-bis-triazolyl-2-propanol derivative"," 2-(2,4-Difluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)propan-2-ol and its pharmaceutically acceptable acid addition salts are disclosed. This particular bis-triazole derivative and its aforesaid salts are useful for treating fungal infections in animals, including humans. Methods for preparing these compounds from known starting materials are provided. ",A,3.0,0.0,pftaps19830913_wk37.zip
4405829,utility,1983-09-20,Cryptographic communications system and method," A cryptographic communications system and method. The system includes a communications channel coupled to at least one terminal having an encoding device and to at least one terminal having a decoding device. A message-to-be-transferred is enciphered to ciphertext at the encoding terminal by first encoding the message as a number M in a predetermined set, and then raising that number to a first predetermined power (associated with the intended receiver) and finally computing the remainder, or residue, C, when the exponentiated number is divided by the product of two predetermined prime numbers (associated with the intended receiver). The residue C is the ciphertext. The ciphertext is deciphered to the original message at the decoding terminal in a similar manner by raising the ciphertext to a second predetermined power (associated with the intended receiver), and then computing the residue, M', when the exponentiated ciphertext is divided by the product of the two predetermined prime numbers associated with the intended receiver. The residue M' corresponds to the original encoded message M. ",A,40.0,0.0,pftaps19830920_wk38.zip
4415732,utility,1983-11-15,Phosphoramidite compounds and processes, A new class of nucleoside phosphoramidites which are relatively stable to permit isolation thereof and storage at room temperature. The phosphoramidites are derivatives of saturated secondary amines. ,A,20.0,0.0,pftaps19831115_wk46.zip
4418691,utility,1983-12-06,Method of promoting the regeneration of tissue at a wound,"This invention comprises the use of centrifugal force to introduce viable cells into a fibrous lattice, as well as fibrous lattices that are seeded with cells by the use of centrifugal force. A variety of fibrous lattices may be seeded by the methods of this invention, such as a highly porous lattice comprising collagen fibers crosslinked with glycosaminoglycan. Before the centrifugation, a piece of intact tissue is harvested from a donor site. It is treated with one or more substances, such as trypsin or collagenase, to dissociate cells from the tissue. The cells are then mixed with an aqueous solution to create an aqueous suspension of cells. A piece of fibrous lattice is placed within a container, referred to herein as a ""bucket,"" that is suitable for rotation by a centrifuge. The aqueous suspension of cells is placed within the bucket, in contact with the lattice. The centrifuge is then rotated. Centrifugal force causes the cells, which are denser than the aqueous solution, to be forced into the lattice in a relatively uniform distribution. By controlling various parameters, cells can be seeded into any desired location within a lattice.",A,18.0,0.0,pftaps19831206_wk49.zip
4438511,utility,1984-03-20,Packetized ensemble modem," A high speed digital data modem particularly suited for use on a dial up telephone line is disclosed. For the transmit ensemble, the telephone passband is divided into sixty-four sub-bands each with a carrier located approximately in the center of each sub-band. Each carrier is amplitude and phase modulated in order to encode five (5) bits. One carrier is used as a reference signal for phase and amplitude. The modulated carriers can be changed in data content every epoch. By use of packetization of data, individual amplitude correction, and individual phase correction for each carrier, the high speed modem may achieve up to 12000 bps over a dial up line with a simultaneous 300 bps reverse channel. ",A,10.0,0.0,pftaps19840320_wk12.zip
4458066,utility,1984-07-03,Process for preparing polynucleotides," New and useful intermediate nucleotides bound to an inorganic polymer support, including the preparation thereof, and processes for the conversion to oligonucleotides which are especially useful for the synthesis of polynucleotides, particularly ribonucleic (RNA) and deoxyribonucleic acids (DNA). ",A,43.0,0.0,pftaps19840703_wk27.zip
4459286,utility,1984-07-10,Coupled H. influenzae type B vaccine, Haemophilus influenzae type B polysaccharide is coupled through a spacer to a serotype outer membrane protein from Neisseria meningitidis. This conjugate has enhanced antigenicity and immunogenicity relative to the unconjugated polysaccharide. ,A,7.0,0.0,pftaps19840710_wk28.zip
4469099,utility,1984-09-04,Pneumatic torniquet," A pneumatic tourniquet includes an inflatable cuff, a pressurizing mechanism for pressurizing the cuff, a pressure relief mechanism for depressurizing the cuff, a pressure sensing mechanism for sensing the pressure to which the cuff is pressurized and a pressure regulator mechanism for selectably activating the pressurizing mechanism and the pressure relief means to maintain the cuff pressure near a selected pressure. Visual and audible alarm signals are triggered if the cuff pressure exceeds a cuff pressurization limit, if the cuff pressure falls below a cuff depressurization limit, or if the cuff has remained pressurized for, or in excess of a selected time period. A computer may be used to sense the cuff pressure and pressurized or depressurized the cuff as required to maintain the cuff pressure within upper and lower cuff pressure limits. ",A,11.0,0.0,pftaps19840904_wk36.zip
