Patent,Year,Inventor,Invention,kellyetal,halloffame
88929,1869,George Westinghouse,Air Brake,1,0
91145,1869,Ives W. McGaffey,Vacuum Cleaner,1,0
110971,1871,Andrew Smith Hallidie,Cable Car,1,0
113448,1871,Mary Potts,Sad Iron,1,1
127360,1872,"J.P. Cooley, S. Noble",Toothpick-making machine,1,0
129843,1872,Elijah McCoy,Improvements in Lubricators for Steam-Engines,1,1
135245,1873,Louis Pasteur,Pasteurization,1,1
141072,1873,Louis Pasteur,Manufacture of Beer and Treatment of Yeast,1,0
157124,1874,Joseph F. Glidden,Barbed Wire,1,1
161739,1875,Alexander Graham Bell,Telephone,1,0
171121,1875,George Green,Dental Drill,1,0
174465,1876,Alexander Graham Bell,Telephone,1,1
178216,1876,Alexander Graham Bell,Telephone,1,0
178399,1876,Alexander Graham Bell,Telephone,1,0
186787,1877,Alexander Graham Bell,Electric Telegraphy,1,0
188292,1877,Chester Greenwood,Ear muffs,1,0
194047,1877,Nicolaus August Otto,Internal Combustion Engine,1,0
200521,1878,Thomas Alva Edison,Phonograph,1,0
201488,1878,Alexander Graham Bell,Telephone,1,0
203016,1878,Thomas Alva Edison,Speaking Telephone,1,0
206112,1878,Thaddeus Hyatt,Reinforced Concrete,1,0
220925,1879,Margaret Knight,Paper-Bag Machine,1,0
222390,1879,Thomas Alva Edison,Improvement in carbon telephones,1,0
223898,1880,Thomas Alva Edison,First Incandescent Light,1,1
224573,1880,Emile Berliner,Microphone,1,0
228507,1880,Alexander Graham Bell,Electric Telephone,1,0
237664,1881,Frederic E. Ives,Halftone Printing Plate,1,0
304272,1884,Ottmar Mergenthaler,Linotype,1,0
312085,1885,Edward J. Claghorn,Seat Belt,1,0
322177,1885,Sarah Goode,Folding Cabinet Bed,1,0
347140,1886,Elihu Thomson,Electric Welder,1,0
349983,1886,Gottlieb Daimler,Four Stroke Combustion Engine,1,0
371496,1887,Dorr E. Felt,Adding Machine,1,0
372786,1887,Emile Berliner,Phonograph Record,1,1
373064,1887,"Carl Gassner, Jr.",Dry Cell Battery,1,0
382280,1888,Nikola Tesla,A. C. Induction Motor,1,0
386289,1888,Miriam Benjamin,Gong and Signal Chair for Hotels,1,0
388116,1888,William S. Burroughs,Calculator,1,1
388850,1888,George Eastman,Roll Film Camera,1,0
395782,1889,Herman Hollerith,Computer,1,1
400665,1889,Charles M. Hall,Aluminum Manufacture,1,1
415072,1889,Starley/Owen,Tandem Bicycle,1,0
430212,1890,Hiram Stevens Maxim,Smokeless Gunpowder,1,1
430804,1890,Herman Hollerith,Electric Adding Machine,1,0
447918,1891,Almon B. Strowger,Telephone Exchange,1,1
453550,1891,John Boyd Dunlop,Pneumatic Tyres,1,0
468226,1892,William Painter,Bottle Cap,1,1
472692,1892,G.C. Blickensderfer,Typewriting Machine,1,0
492767,1893,Edward G. Acheson,Carborundum,1,1
493426,1893,Thomas Alva Edison,Motion Picture,1,0
504038,1893,Whitcomb L. Judson,Zipper,1,0
536569,1895,Charles Jenkins,Phantoscope,1,0
549160,1895,George B. Selden,Automobile,1,0
558393,1896,John Harvey Kellogg,Cereal,1,1
558719,1896,C.B. Brooks,Street Sweeper,1,0
558936,1896,Joseph S. Duncan,Addressograph,1,0
586193,1897,Guglielmo Marconi,Radio,1,1
589168,1897,Thomas A. Edison,Motion Picture Camera,1,0
608845,1898,Rudolf Diesel,Diesel Engine,1,1
621195,1899,Ferdinand Graf Zeppelin,Dirigible,1,1
644077,1900,Felix Hoffmann,Aspirin,1,1
661619,1900,Valdemar Poulsen,Magnetic Tape Recorder,1,1
708553,1902,John P. Holland,Submarine,1,0
743801,1903,Mary Anderson,Windscreen Wiper,1,1
745157,1903,Clyde J. Coleman,Electric Starter,1,0
764166,1904,Albert Gonzales,Railroad Switch,1,0
766768,1904,Michael J. Owens,Glass Bottle Manufacturing,1,1
775134,1904,KC Gillette,Razor (with removable blades),1,1
808897,1906,Willis H. Carrier,Air Conditioning,1,1
815350,1906,John Holland,Submarine,1,0
821393,1906,Orville Wright,Airplane,1,1
841387,1907,Lee De Forest,Triode Vacuum Tube,1,0
921963,1909,Leonard H. Dyer,Automobile Vehicle,1,0
942809,1909,Leo H. Baekeland,Bakelite,1,0
970616,1910,Thomas A. Edison,helicopter (never flown),1,0
971501,1910,Fritz Haber,Ammonia Production,1,1
1000000,1911,Francis Holton,Non-Puncturable Vehicle Tire,1,0
1005186,1911,Henry Ford,Automotive Transmission,1,1
1008577,1911,Ernst F. W. Alexanderson,High Frequency Generator,1,1
1030178,1912,Peter Cooper Hewitt,Mercury Vapor Lamp,1,1
1082933,1913,William D. Coolidge,Tungsten Filament Light Bulb,1,0
1102653,1914,Robert H. Goddard,Rocket,1,0
1103503,1914,Robert Goddard,Rocket Apparatus,1,0
1113149,1914,Edwin H. Armstrong,Wireless Receiver,1,0
1155674,1914,Mary P. Jacob,Brassiere,1,0
1180159,1916,Irving Langmuir,Gas Filled Electric Lamp,1,1
1203495,1916,William D. Coolidge,X-Ray Tube,1,1
1211092,1917,William Coolidge,X-Ray Tube,1,0
1228388,1917,Frederick C Bargar,Fire Extinguisher,1,0
1254811,1918,Charles F Kettering,Engine Ignition,1,0
1279471,1918,Elmer A. Sperry,Gyroscopic Compass,1,0
1360168,1920,Ernst Alexanderson,Antenna,1,0
1394450,1921,Charles P Strite,Bread Toaster,1,0
1413121,1922,John Arthur Johnson,Adjustable Wrench,1,0
1420609,1922,Glenn H. Curtiss,Hydroplane,1,0
1573846,1926,"Thomas Midgley, Jr.",Ethyl Gasoline,1,0
1682366,1928,Charles F. Brannock,Foot Measuring Device,1,1
1699270,1929,John Logie Baird,Television / TV,1,0
1773079,1930,Clarence Birdseye,Frozen Food,1,1
1773080,1930,Clarence Birdseye,Frozen Food,1,0
1773980,1930,Philo T. Farnsworth,Television,1,1
1800156,1931,Erik Rotheim,Aerosol Spray Can,1,0
1821525,1931,Nielsen Emanuel,Hair Dryer,1,0
1835031,1931,Herman Affel,Coaxial cable,1,1
1848389,1932,Igor Sikorsky,Helicopter,1,0
1867377,1932,Otto F Rohwedder,Bread-Slicing Machine,1,0
1925554,1933,John Logie Baird,Color Television,1,0
1992453,1933,Waldo Semon,Rubber,1,0
1941066,1933,Edwin H. Armstrong,FM Radio,1,0
1948384,1934,Ernest O. Lawrence,Cyclotron,1,1
1949446,1934,William Burroughs,Adding and Listing Machine,1,0
1980972,1934,Lyndon Frederick,Krokdil,1,0
2021907,1935,Vladimir K. Zworykin,Television,1,0
2059884,1936,Leopold D. Mannes,Color Film,1,0
2071250,1937,Wallace H. Carothers,Nylon,1,0
2087683,1937,PT Farnsworth,Image Dissector,1,0
2153729,1939,Ernest H. Volwiler,Pentothal (General Anesthetic),1,1
2188396,1940,Waldo Semon,Rubber,1,1
2206634,1940,Enrico Fermi,Radioactive Isotopes,1,0
2230654,1941,Roy J. Plunkett,TEFLON,1,1
2258841,1941,Jozsef Bir—Laszlo,Fountain Pen,1,0
2292387,1942,Markey/Antheil,Secret Communication System,1,1
2297691,1942,Chester F. Carlson,Xerography,1,1
2329074,1943,Paul Muller,DDT - Insecticide,1,0
2390636,1945,Ladislao Biro,Ball Point Pen,1,1
2404334,1946,Frank Whittle,Jet Engine,1,1
2436265,1948,Allen Du Mont,Cathode Ray Tube,1,0
2451804,1948,Donald L. Campbell,Fluid Catalytic Cracking,1,1
2495429,1950,Percy Spencer,Microwave,1,0
2524035,1950,John Bardeen,Transistor,1,1
2543181,1951,Edwin H. Land,Instant Photography,1,1
2569347,1951,William Shockley,Junction Transistor,1,0
2642679,1953,Frank Zamboni,Resurfacing Machine,1,1
2668661,1954,George R. Stibitz,Modern Digital Computer,1,1
2682050,1954,Andrew Alford,Radio Navigation System,1,1
2682235,1954,Richard Buckminster Fuller,Geodesic Dome,1,0
2691028,1954,Frank B. Colton,First Oral Contraceptive,1,1
2699054,1955,Lloyd H. Conover,Tetracycline,1,1
2708656,1955,Enrico Fermi,Atomic Reactor,1,1
2708722,1955,An Wang,Magnetic Core Memory,1,1
2717437,1955,George De Mestral,Velcro,1,1
2724711,1955,Gertrude Elion,Leukemia-fighting drug 6-mercaptopurine,1,0
2752339,1956,Percy L. Julian,Preparation of Cortisone,1,1
2756226,1956,"Ernst Brandl, Hans Margreiter",Oral Penicillin,1,0
2797183,1957,Hazen/ Brown,Nystatin,1,1
2816721,1957,R. J. Taylor,Rocket Engine,1,0
2817025,1957,Robert Adler,TV remote control,1,1
2835548,1958,Robert C. Baumann,Satellite,1,0
2866012,1958,Charles P. Ginsburg,Video Tape Recorder,1,0
2879439,1959,Charles H. Townes,Maser,1,1
2929922,1960,Arthur L. Schawlow,Laser,1,1
2937186,1960,Burckhalter/Seiwald,Antibody Labelling Agent,1,1
2947611,1960,Francis P. Bundy,Diamond Synthesis,1,1
2956114,1960,Charles P. Ginsburg,Wideband Magnetic Tape System,1,1
2981877,1961,Robert N. Noyce,Semiconductor Device,1,1
3057356,1962,Greatbatch Wilson,Pacemaker,1,1
3093346,1963,Maxime A. Faget,First Manned Space Capsule-Mercury,1,0
3097366,1963,Paul Winchell,Artificial Heart,1,0
3118022,1964,Gerhard M. Sessler,Electret Microphone,1,1
3156523,1964,Glenn T. Seaborg,Americium (Element 95),1,0
3174267,1965,"Edward C Bopf, Deere & Co",Cotton Harvester,1,0
3220816,1965,Alastair Pilkington,Manufacture of Flat Glass,1,0
3287323,1966,"Stephanie Kwolek, Paul Morgan",Kevlar,1,0
3478216,1969,George Carruthers,Far-Ultraviolet Camera,1,1
3574791,1971,Patsy Sherman,Scotchguard,1,1
3663762,1972,Edward Joel Amos Jr,Cellular Telephone,1,1
3789832,1974,Raymond V. Damadian,MRI,1,1
3858232,1974,William Boyle,Digital Eye,1,1
3906166,1975,Martin Cooper,Cellular Telephone,1,0
4136359,1979,"Stephen Wozniak, Apple",Microcomputer for use with video display,1,1
4229761,1980,Valerie Thomas,Illusion Transmitter,1,0
4237224,1980,Boyer/Cohen,Molecular chimeras,1,1
4363877,1982,Howard M. Goodman,Human Growth Hormone,1,0
4371752,1983,Gordon Matthews,Digital Voice Mail System,1,0
4399126,1983,Richard Axel,Co-transformation,1,0
4437122,1984,Walsh/Halpert,bitmap (raster) graphics,1,0
4464652,1984,Apple,Lisa Mouse,1,0
4468464,1984,Boyer/Cohen,Molecular chimeras,1,0
4590598,1986,Gordon Gould,Laser,1,0
4634665,1987,Richard Axel,Co-transformation,1,0
4683195,1987,Kary B. Mullis,polymerase chain reaction,1,0
4683202,1987,(several),polymerase chain reaction,1,1
4736866,1988,Leder/Stewart,transgenic (genetically modified) animals,1,0
4744360,1988,Patricia Bath,Cataract Laserphaco Probe,1,1
4816397,1989,Michael A. Boss,recombinant antibodies,1,0
4816567,1989,Shmuel Cahilly,immunoglobulins,1,0
4838644,1989,Ellen Ochoa,Recognizing Method,1,0
4889818,1989,(several),polymerase chain reaction,1,0
4965188,1990,(several),polymerase chain reaction,1,0
5061620,1991,(several),Method for isolating the human stem cell,1,0
5071161,1991,Geoffrey L. Mahoon,Airbag,1,0
5108388,1992,Stephen L. Troke,Laser Surgery Method,1,0
5149636,1992,Richard Axel,Co-transformation,1,0
5179017,1993,Richard Axel,Co-transformation,1,0
5184830,1993,"Saturo Okada, Shin Kojo",Compact Hand-Held Video Game System,1,0
5194299,1993,Arthur Fry,Post-It Note,1,1
5225539,1993,Gregory P. Winter,"Chimeric, humanized antibodies",1,0
5272628,1993,Michael Koss,Core Excel Function,1,0
5747282,1998,Mark H. Skolnick,isolating BRCA1 gene,1,0
5770429,1998,Nils Lonberg,human antibodies from transgenic mice,1,0
5837492,1998,(several),isolating BRCA2 gene,1,0
5939598,1999,(several),Transgenic mice,1,0
5960411,1999,"Peri Hartman, Jeff Bezos",1-click buying,1,0
6230409,2001,Patricia Billings,Geobond,1,0
6285999,2001,Larry Page,Google Pagerank,1,0
6331415,2001,Shmuel Cabilly,Antibody molecules,1,0
6455275,2002,Richard Axel,Co-transformation,1,0
1569247,,James Abercrombie,Blowout Preventer (BOP),0,1
615648,,Edward Goodrich Acheson,Carborundum,0,1
3228831,,Stewart Adams,Ibuprofen,0,1
4405829,,Leonard Adleman,RSA Cryptography,0,1
2616626,,Howard Aiken,Automatic Sequence Controlled Calculator (Mark I),0,1
5961804,,Jonathan D. Albert,Electronic Ink,0,1
4472728,,George Edward Alcorn,X-Ray Spectrometer,0,1
3010223,,Samuel Alderson,Crash Test Dummy,0,1
5811097,,James Allison,Immune Checkpoint Blockade Therapy,0,1
408681,,Samuel Leeds Allen,Flexible Flyer Sled,0,1
2480208,,Luis Walter Alvarez,Radio Distance and Direction Indicator,0,1
5527628,,Iver Anderson,Lead-Free Solder,0,1
5595568,,R. Rox Anderson,Laser Dermatology,0,1
4606960,,J. Roger P. Angel,Lightweight Mirrors for Astronomical Telescopes,0,1
580749,,Thomas J. Armat,Vitascope,0,1
1342885,,Edwin Howard Armstrong,FM Radio,0,1
4474245,,Don Arney,Bambi Bucket® for Aerial Firefighting,0,1
6153410,,Frances Arnold,Directed Evolution of Enzymes,0,1
7197462,,Chieko Asakawa,Home Page Reader,0,1
3710279,,Arthur Ashkin,Optical Trapping,0,1
4893886,,Arthur Ashkin,Optical Trapping,0,1
3206670,,Martin (John) M. Atalla,MOSFET,0,1
65042,,George H. Babcock,Improvement in Steam Generators,0,1
2957756,,Roger Bacon,High-Performance Carbon Fibers,0,1
942699,,Leo Hendrik Baekeland,Bakelite,0,1
3476858,,John Baer,Thiazide Diuretics (Chlorothiazide),0,1
3728480,,Ralph H. Baer,Video Games,0,1
3790654,,Rodney D. Bagley,Ceramic Substrate in Catalytic Converters,0,1
6787308,,Shankar Balasubramanian,Sequencing-by-Synthesis (SBS),0,1
4969028,,Bantval Jayant Baliga,Insulated Gate Bipolar Transistor,0,1
5998833,,Bantval Jayant Baliga,Insulated Gate Bipolar Transistor,0,1
2825721,,Robert Banks,High-Density Polyethylene and Polypropylene Plastics,0,1
1469994,,Frederick Banting,"Isolated, Purified Insulin",0,1
4438511,,Paul Baran,Digital Packet Switching,0,1
2502488,,John Bardeen,Transistor,0,1
9879269,,Rodolphe Barrangou,CRISPR-enhanced Food Products,0,1
9951342,,Rodolphe Barrangou,CRISPR-enhanced Food Products,0,1
3922637,,C. Donald Bateman,Ground Proximity Warning System,0,1
594059,,Andrew J. Beard,Jenny Coupler for Railroad Cars,0,1
2058761,,Arnold O. Beckman,pH Meter,0,1
2048487,,Semi Joseph Begun,Magnetic Recording,0,1
2048488,,Semi Joseph Begun,Magnetic Recording,0,1
3432252,,Ruth Benerito,Wrinkle-Free Cotton,0,1
2721271,,Willard H. Bennett,Radio Frequency Mass Spectrometer,0,1
385087,,Carl Benz,Modern Automobile,0,1
3253262,,Evelyn Berezin,Computer Systems for Business Use,0,1
463569,,Emile Berliner,Gramophone / Microphone,0,1
7807619,,Carolyn Bertozzi,Bioorthogonal Chemistry,0,1
16082,,Henry Bessemer,Bessemer Process,0,1
7535012,,Eric Betzig,Photoactivated Localization Microscopy (PALM),0,1
2789938,,Karl H. Beyer Jr.,Thiazide Diuretics (Chlorothiazide),0,1
169,,Erastus B. Bigelow,Power Loom,0,1
453140,,Edwin Binney,Manufacturing Lamp Black,0,1
4343993,,Gerd Karl Binnig,Scanning Tunneling Microscope,0,1
3068856,,Forrest M. Bird,Medical Respirator,0,1
3191596,,Forrest M. Bird,Medical Respirator,0,1
3842828,,Forrest M. Bird,Medical Respirator,0,1
2913510,,John Birden,Radioisotope Thermoelectric Generator (RTG),0,1
3559190,,Donald L. Bitzer,Plasma Display,0,1
2102671,,Harold Stephen Black,Negative Feedback Amplifier,0,1
1245860,,S. Duncan Black,Portable Hand-Held Electric Drill,0,1
20542,,Eli Whitney Blake,Machine for Crushing Stone,0,1
141987,,Helen Blanchard,Zig-Zag Sewing Machine,0,1
5518988,,Sylvia Blankenship,"1-MCP for Fruit, Vegetable and Flower Freshness",0,1
2220860,,Katharine Burr Blodgett,Langmuir-Blodgett Films,0,1
4784135,,Samuel E. Blum,Excimer Laser Surgery,0,1
3636191,,Baruch S. Blumberg,Vaccine for Hepatitis B,0,1
3872225,,Baruch S. Blumberg,Vaccine for Hepatitis B,0,1
7337,,James Bogardus,Iron Buildings,0,1
3043625,,Nils I. Bohlin,Safety Belt,0,1
3023824,,Joseph-Armand Bombardier,Snowmobile,0,1
7450806,,Dana Bookbinder,Bend-Insensitive Optical Fiber,0,1
7903917,,Dana Bookbinder,Bend-Insensitive Optical Fiber,0,1
8385701,,Dana Bookbinder,Bend-Insensitive Optical Fiber,0,1
990191,,Carl Bosch,Process of Producing Ammonia,0,1
4494074,,Amar Bose,Feedback Control,0,1
3472712,,Robert W. Bower,Self-Aligned Gate MOSFET,0,1
3793750,,William Bowerman,Modern Athletic Shoe,0,1
2891227,,Otis Boykin,Electronic Resistors,0,1
1266766,,Jacques E. Brandenberger,Cellophane,0,1
4988299,,Per-Ingvar Brånemark,Modern Dental Implant,0,1
3807657,,Yvonne Brill,Electrothermal Hydrazine Resistojet,0,1
4235893,,Angela Hartley Brodie,Aromatase Inhibitors,0,1
4017168,,Garrett W. Brown,Steadicam® Camera Stabilizer,0,1
220271,,John Moses Browning,Breech-Loading Firearm,0,1
203411,,Charles F. Brush,Arc Lamp for Street Lighting,0,1
5639850,,Robert Bryant,LaRC-SI (Langley Research Center-Soluble Imide),0,1
5741883,,Robert Bryant,LaRC-SI (Langley Research Center-Soluble Imide),0,1
6048959,,Robert Bryant,LaRC-SI (Langley Research Center-Soluble Imide),0,1
1699133,,Edward W. Bullard,Hard Hat,0,1
4418691,,John Francis Burke,Regenerated Skin,0,1
1049667,,William Meriam Burton,Catalytic Cracking,0,1
2032253,,Vannevar Bush,Differential Analyzer,0,1
76157,,Edward A. Calahan,Stock Ticker,0,1
1227113,,George Ashley Campbell,Electric Wave Filter,0,1
2351004,,Marvin Camras,Magnetic Recording,0,1
2130947,,Wallace Hume Carothers,Synthetic Rubber,0,1
2130948,,Wallace Hume Carothers,Synthetic Rubber,0,1
4415732,,Marvin Caruthers,Chemical Synthesis of DNA,0,1
4458066,,Marvin Caruthers,Chemical Synthesis of DNA,0,1
1522176,,George Washington Carver,Peanut Products,0,1
1541478,,George Washington Carver,Peanut Products,0,1
3460378,,Frank J. Cepollina,Satellite Servicing Techniques,0,1
6574628,,Vinton G. Cerf,Transmission Control Protocol / Internet Protocol,0,1
2780765,,Daryl Chapin,Silicon Solar Cell,0,1
3423290,,Emmett W. Chappelle,Bioluminescence Techniques,0,1
3722002,,John Charnley,Acetabular Sockets,0,1
10266850,,Emmanuelle Charpentier,CRISPR-Cas9 Gene Editing,0,1
6051757,,Mary-Dell Chilton,Transgenic Plant,0,1
3830654,,Alfred Y. Cho,Molecular Beam Epitaxy (MBE),0,1
1552113,,Edith Clarke,Graphical Calculator,0,1
1189664,,Georges Claude,Neon Tubing,0,1
355139,,Josephine Garis Cochran,Dishwasher,0,1
2725389,,Frank B. Colton,Oral Contraceptives,0,1
5046022,,Lynn Conway,Very Large-Scale Integration (VLSI),0,1
6276705,,Rory Cooper,Wheelchair Technology,0,1
8264458,,Rory Cooper,Wheelchair Technology,0,1
2768109,,Harry W. Coover,Superglue,0,1
177377,,George Henry Corliss,Improvements in the Steam Engine,0,1
177059,,George Henry Corliss,Improvements in the Steam Engine,0,1
115935,,Martha Coston,Signal Flares used by Ships,0,1
895729,,Frederick G. Cottrell,Electrostatic Precipitator,0,1
2656508,,Wallace Coulter,Coulter Principle,0,1
2485039,,Jacques-Yves Cousteau,Diving Equipment,0,1
1113312,,Joshua Lionel Cowen,Toy Train,0,1
510565,,Eckley B. Coxe,Traveling-Grate Furnace,0,1
4128880,,Seymour Cray,Supercomputer,0,1
7599359,,Marian Croak,VoIP (Voice over Internet Protocol) Technology,0,1
11933,,George Crompton,Loom,0,1
1727965,,David Crosthwait,Heating and Ventilation System Design,0,1
1170965,,Glenn Hammond Curtiss,Hydroaeroplane,0,1
4105776,,David Wayne Cushman,Captopril,0,1
153245,,Gottlieb Daimler,Design of Automobile and Motorcycle Engines,0,1
8649899,,Raffaello D'Andrea,Mobile Robotic Material Handling for Order Fulfillment,0,1
5291560,,John G. Daugman,Iris Recognition Algorithm,0,1
4799258,,Donald Watts Davies,Digital Packet Switching,0,1
4528626,,Mark Dean,Peripherals,0,1
879532,,Lee de Forest,Audion Amplifier,0,1
3387286,,Robert H. Dennard,Dynamic Random Access Memory (DRAM),0,1
2988237,,George Devol,Industrial Robot,0,1
538663,,Albert B. Dick,Duplicating Machine,0,1
1612267,,Earle Dickson,BAND-AID® Brand Adhesive Bandages,0,1
4200770,,Whitfield Diffie,Public-Key Cryptography,0,1
5514646,,Richard DiMarchi,Insulin LisPro (Humalog®),0,1
2201689,,Walt Disney,Multiplane Camera,0,1
2744122,,Carl Djerassi,Oral Contraceptives,0,1
3846719,,Ray Dolby,Dolby Noise Reduction,0,1
2556800,,Marion Donovan,Waterproof Diaper Cover,0,1
RE12232,,Herbert Henry Dow,Bromine Extraction,0,1
2752790,,Charles Stark Draper,Stabilizing Gyroscope,0,1
7465871,,Mildred Dresselhaus,Superlattice Structures for Thermoelectric Devices,0,1
2389355,,Charles Richard Drew,Blood Plasma Preservation,0,1
1760820,,Richard Gurley Drew,Adhesive Tape,0,1
1834580,,Philip Drinker,Respiration Apparatus,0,1
435995,,John Boyd Dunlop,Pneumatic Tire for Cycles,0,1
3950333,,Graham J. Durant,Tagamet - Cimetidine,0,1
4024271,,Graham J. Durant,Tagamet - Cimetidine,0,1
83942,,James Buchanan Eads,American Infrastructure and Defense,0,1
170832,,James Buchanan Eads,American Infrastructure and Defense,0,1
226503,,George Eastman,Dry Plate Photography System,0,1
3789409,,Roger Easton,TIMATION Satellite Navigation System,0,1
2577141,,J. Presper Eckert,ENIAC,0,1
2478903,,Harold E. Edgerton,Stroboscope,0,1
812554,,Alfred Einhorn,Novocain,0,1
1592628,,Willem Einthoven,Electrocardiograph,0,1
2884667,,Gertrude Belle Elion,Anti-Leukemia Drugs,0,1
1390689,,Carleton van Staal Ellis,Margarine,0,1
3983140,,Akira Endo,Mevastatin,0,1
3541541,,Douglas Engelbart,Computer Mouse,0,1
588,,John Ericsson,Screw Propeller,0,1
1001260,,Ole Evinrude,Outboard Motor,0,1
3702688,,Maxime Faget,Space Capsule Design,0,1
3821715,,Federico Faggin,Microprocessor,0,1
8920,,Moses G. Farmer,Electric Fire Alarm System,0,1
3731986,,James L. Fergason,Liquid Crystal Display,0,1
706747,,Reginald A. Fessenden,AM Radio,0,1
646274,,Harvey Firestone,Pneumatic Rubber Tires,0,1
4310440,,Edith Flanigen,Molecular Sieves,0,1
4641349,,Leonard Flom,Iris Recognition System,0,1
3435826,,Thomas J. Fogarty,Embolectomy Catheter,0,1
4164560,,M. Judah Folkman,Angiogenesis Inhibition,0,1
2736880,,Jay W. Forrester,Random Access Memory,0,1
5471515,,Eric R. Fossum,CMOS Active Pixel Image Sensor Camera-on-a-Chip,0,1
3799758,,John E. Franz,Glyphosate Herbicide,0,1
2848308,,Alfred H. Free,Glucose Detection for Diabetes,0,1
2912309,,Helen M. Free,Glucose Detection for Diabetes,0,1
4870302,,Ross Freeman,Field Programmable Gate Array (FPGA),0,1
3104641,,Harold Froehlich,Alvin Deep-Sea Submersible,0,1
3744036,,Dov  Frohman-Bentchkowsky,Electrically Programmable Read-Only Memory Array,0,1
2452919,,Dennis Gabor,Electron Holography,0,1
5780860,,Ashok Gadgil,Water Disinfecting Device,0,1
4708818,,Robert Gallo,HIV Virus Isolation and Diagnosis,0,1
5102853,,Haren Gandhi,Automotive Exhaust Catalysts,0,1
2182732,,Edmund Germer,Fluorescent Lamp,0,1
2202199,,Edmund Germer,Fluorescent Lamp,0,1
2709773,,Ivan Getting,Global Positioning System,0,1
2702035,,John Gibbon,Heart-Lung Machine,0,1
2397657,,Robert Hutchings Goddard,Solid Fuel Rockets,0,1
3503060,,William A. Goddard,Magnetic Disk Drive,0,1
1997493,,"Leopold Godowsky, Jr.",Kodachrome® Film,0,1
2950116,,Peter C. Goldmark,Long-Playing (LP) Record,0,1
8064835,,Andrea Goldsmith,Adaptive Beamforming for Multi-Antenna Wi-Fi,0,1
610861,,Hannibal Goodwin,Transparent Flexible Nitrocellulose Film,0,1
3953566,,Robert W. Gore,"ePTFE, Known by the GORE-TEX® Brand Name",0,1
4053845,,Gordon Gould,Optically Pumped Laser Amplifiers,0,1
4704583,,Gordon Gould,Optically Pumped Laser Amplifiers,0,1
120057,,Zenobe Theophile Gramme,Direct-Current Dynamo,0,1
461470,,Elisha Gray,Telegraphic Instruments,0,1
2478967,,Leonard Michael Greene,Aircraft Stall Warning Device,0,1
1859624,,Leroy Grumman,Retractable Landing Gear; Folding Wing,0,1
2812709,,Robert Gundlach,Modern Photocopier,0,1
6590928,,Jaap C. Haartsen,Bluetooth® Wireless Technology,0,1
2947610,,H. Tracy Hall,Diamond Synthesis,0,1
2107697,,Lloyd Augustus Hall,Food Preservatives,0,1
2994018,,Robert N. Hall,Semiconductor Laser,0,1
89308,,Thomas Seavey Hall,Improvement in Electrical Signals,0,1
100140,,Andrew Smith Hallidie,Cable Car,0,1
1295741,,"John Hays Hammond, Jr.",Radio Control,0,1
2284896,,William Edward Hanford,Polyurethane,0,1
4115914,,Eli Harari,Floating Gate EEPROM,0,1
5297148,,Eli Harari,Floating Gate EEPROM,0,1
2967845,,W. Lincoln Hawkins,Polymer Cable Sheath,0,1
2694580,,Howard Head,Laminate Ski; Oversized Tennis Racket,0,1
3999756,,Howard Head,Laminate Ski; Oversized Tennis Racket,0,1
