breakdown-code,not-allocatable,level,additional-only,sort-key,date-revised,status,classification_symbol,class_title,link-file,definition-exists
false,true,5,false,B06B,2018-08-01,published,B06B,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, ; FOR PERFORMING MECHANICAL WORK IN GENERAL ",cpc-scheme-B06B.xml,true
false,true,5,false,B07B,2021-01-01,published,B07B,"SEPARATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, SIFTING OR BY USING GAS CURRENTS;SEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIAL ",cpc-scheme-B07B.xml,true
false,true,5,false,B07C,2018-08-01,published,B07C,"POSTAL SORTING;SORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKING ",cpc-scheme-B07C.xml,true
false,true,5,false,B08B,2018-08-01,published,B08B,CLEANING IN GENERAL;PREVENTION OF FOULING IN GENERAL ,cpc-scheme-B08B.xml,true
false,true,5,false,B09B,2024-01-01,published,B09B,DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR,cpc-scheme-B09B.xml,true
false,true,5,false,B09C,2020-01-01,published,B09C,RECLAMATION OF CONTAMINATED SOIL ,cpc-scheme-B09C.xml,true
false,true,5,false,B21B,2018-08-01,published,B21B,ROLLING OF METAL ,cpc-scheme-B21B.xml,true
false,true,5,false,B21C,2018-08-01,published,B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES OR PROFILES, OTHERWISE THAN BY ROLLING;AUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL",cpc-scheme-B21C.xml,true
false,true,5,false,B21D,2018-08-01,published,B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL;PUNCHING METAL ",cpc-scheme-B21D.xml,true
false,true,5,false,B21F,2018-08-01,published,B21F,WORKING OR PROCESSING OF METAL WIRE ,cpc-scheme-B21F.xml,true
false,true,5,false,B21G,2018-08-01,published,B21G,"MAKING NEEDLES, PINS OR NAILS OF METAL",cpc-scheme-B21G.xml,true
false,true,5,false,B21H,2018-08-01,published,B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS ",cpc-scheme-B21H.xml,true
false,true,5,false,B21J,2018-08-01,published,B21J,FORGING;HAMMERING;PRESSING METAL;RIVETING;FORGE FURNACES ,cpc-scheme-B21J.xml,true
false,true,5,false,B21K,2018-08-01,published,B21K,"MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS ",cpc-scheme-B21K.xml,true
false,true,5,false,B21L,2018-08-01,published,B21L,MAKING METAL CHAINS ,cpc-scheme-B21L.xml,true
false,true,5,false,B22C,2018-08-01,published,B22C,FOUNDRY MOULDING ,cpc-scheme-B22C.xml,true
false,true,5,false,B22D,2018-08-01,published,B22D,CASTING OF METALS;CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES ,cpc-scheme-B22D.xml,true
false,true,5,false,B22F,2022-01-01,published,B22F,WORKING METALLIC POWDER;MANUFACTURE OF ARTICLES FROM METALLIC POWDER;MAKING METALLIC POWDER ;APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER,cpc-scheme-B22F.xml,true
false,true,5,false,B23B,2018-08-01,published,B23B,TURNING;BORING ,cpc-scheme-B23B.xml,true
false,true,5,false,B23C,2018-08-01,published,B23C,MILLING ,cpc-scheme-B23C.xml,true
false,true,5,false,B23D,2018-08-01,published,B23D,"PLANING;SLOTTING;SHEARING;BROACHING;SAWING;FILING;SCRAPING;LIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FOR ",cpc-scheme-B23D.xml,true
false,true,5,false,B23F,2018-08-01,published,B23F,MAKING GEARS OR TOOTHED RACKS ,cpc-scheme-B23F.xml,true
false,true,5,false,B23G,2018-08-01,published,B23G,"THREAD CUTTING;WORKING OF SCREWS, BOLT HEADS, OR NUTS, IN CONJUNCTION THEREWITH ",cpc-scheme-B23G.xml,true
false,true,5,false,B23H,2018-08-01,published,B23H,WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL;SUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METAL ,cpc-scheme-B23H.xml,false
false,true,5,false,B23K,2018-08-01,published,B23K,"SOLDERING OR UNSOLDERING;WELDING;CLADDING OR PLATING BY SOLDERING OR WELDING;CUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTING;WORKING BY LASER BEAM ",cpc-scheme-B23K.xml,true
false,true,5,false,B23P,2021-01-01,published,B23P,METAL-WORKING NOT OTHERWISE PROVIDED FOR;COMBINED OPERATIONS;UNIVERSAL MACHINE TOOLS ,cpc-scheme-B23P.xml,true
false,true,5,false,B23Q,2018-08-01,published,B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING ;MACHINE TOOLS IN GENERAL CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTS;COMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT",cpc-scheme-B23Q.xml,true
false,true,5,false,B24B,2018-08-01,published,B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING ;DRESSING OR CONDITIONING OF ABRADING SURFACES;FEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS",cpc-scheme-B24B.xml,true
false,true,5,false,B24C,2018-08-01,published,B24C,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL,cpc-scheme-B24C.xml,true
false,true,5,false,B24D,2021-08-01,published,B24D,"TOOLS FOR GRINDING, BUFFING OR SHARPENING ",cpc-scheme-B24D.xml,true
false,true,5,false,B25B,2018-08-01,published,B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING",cpc-scheme-B25B.xml,true
false,true,5,false,B25C,2018-08-01,published,B25C,HAND-HELD NAILING OR STAPLING TOOLS;MANUALLY OPERATED PORTABLE STAPLING TOOLS ,cpc-scheme-B25C.xml,true
false,true,5,false,B25D,2020-05-01,published,B25D,PERCUSSIVE TOOLS ,cpc-scheme-B25D.xml,true
false,true,5,false,B25F,2013-01-01,published,B25F,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR;DETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR ,cpc-scheme-B25F.xml,true
false,true,5,false,B25G,2018-08-01,published,B25G,HANDLES FOR HAND IMPLEMENTS ,cpc-scheme-B25G.xml,true
false,true,5,false,B25H,2018-08-01,published,B25H,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK;STORAGE MEANS FOR WORKSHOPS ",cpc-scheme-B25H.xml,true
